subject	session	mapping	run	trial_nr	gaze_dispersion	n_samples	frac_valid
01	1	inverse_cdf	7	145	38.75729669749748	1468	1.0
01	1	inverse_cdf	7	146	41.479710459536946	1477	0.968855788761002
01	1	inverse_cdf	7	147	36.62254197314366	1150	1.0
01	1	inverse_cdf	7	148	36.36016727931509	1501	1.0
01	1	inverse_cdf	7	149	33.96506874256746	1334	0.8853073463268366
01	1	inverse_cdf	7	150	47.88275446299493	1153	1.0
01	1	inverse_cdf	7	151	41.81511848197175	1126	1.0
01	1	inverse_cdf	7	152	120.54239333742227	1460	0.9226027397260274
01	1	inverse_cdf	7	153	29.855624028215715	1051	1.0
01	1	inverse_cdf	7	154	39.410927315556	1326	1.0
01	1	inverse_cdf	7	155	41.73427060374244	1193	0.875943000838223
01	1	inverse_cdf	7	156	50.97408662932495	1501	0.9233844103930713
01	1	inverse_cdf	7	157	41.07669345023787	1395	0.8845878136200717
01	1	inverse_cdf	7	158	95.01106668521682	1359	0.8638704930095659
01	1	inverse_cdf	7	159	40.135517469524395	1126	0.8614564831261101
01	1	inverse_cdf	7	160	29.630693730094297	960	1.0
01	1	inverse_cdf	7	161	54.20886117355411	1452	1.0
01	1	inverse_cdf	8	162	45.47953726291525	1285	1.0
01	1	inverse_cdf	8	163	40.85573837620314	1142	1.0
01	1	inverse_cdf	8	164	37.70365284608927	1301	1.0
01	1	inverse_cdf	8	165	38.54481915576753	1185	1.0
01	1	inverse_cdf	8	166	47.00893472482556	951	1.0
01	1	inverse_cdf	8	167	39.41842918053736	1176	1.0
01	1	inverse_cdf	8	168	35.852127507363804	959	1.0
01	1	inverse_cdf	8	169	44.74580070256445	1176	1.0
01	1	inverse_cdf	8	170	48.37543901323587	1401	1.0
01	1	inverse_cdf	8	171	44.35470596471686	1385	1.0
01	1	inverse_cdf	8	172	35.56052226948693	1501	1.0
01	1	inverse_cdf	8	173	53.331366627288894	1161	1.0
01	1	inverse_cdf	8	174	41.66664779466366	1134	1.0
01	1	inverse_cdf	8	175	43.089912074721454	1343	1.0
01	1	inverse_cdf	8	176	40.55681950096378	726	1.0
01	1	inverse_cdf	8	177	44.98354850501613	1344	1.0
01	1	inverse_cdf	8	178	46.70135279975687	943	1.0
01	1	inverse_cdf	8	179	40.60932754776238	1401	1.0
01	1	inverse_cdf	8	180	52.62150434678541	1286	1.0
01	1	inverse_cdf	8	181	38.87987346364561	1151	1.0
01	1	inverse_cdf	8	182	44.788131033378605	993	1.0
01	1	inverse_cdf	8	183	45.27450306657428	1201	1.0
01	1	inverse_cdf	8	184	49.261203603774916	1260	1.0
01	2	cdf	1	1	39.38998133359945	1309	1.0
01	2	cdf	1	2	47.25116256651949	1502	1.0
01	2	cdf	1	3	45.63686952473369	1192	1.0
01	2	cdf	1	4	37.700814658763214	1376	1.0
01	2	cdf	1	5	171.05541178634394	1110	0.9666666666666667
01	2	cdf	1	6	30.949308455664184	1501	1.0
01	2	cdf	1	7	46.18854972668759	1217	1.0
01	2	cdf	1	8	31.509876919236753	1501	1.0
01	2	cdf	1	9	198.9810218966949	1034	0.9294003868471954
01	2	cdf	1	10	51.09063379059762	1060	1.0
01	2	cdf	1	11	110.429700702152	1001	1.0
01	2	cdf	1	12	32.95718040631951	1427	1.0
01	2	cdf	1	13	91.61331087185133	1493	0.9725385130609511
01	2	cdf	1	14	35.724329795433185	1343	1.0
01	2	cdf	1	15	40.09407674522764	1135	1.0
01	2	cdf	1	16	109.6165272006677	1501	0.9673550966022652
01	2	cdf	1	17	122.61942905955901	1151	1.0
01	2	cdf	1	18	73.13871547678734	1042	1.0
01	2	cdf	1	19	113.16885661138329	893	1.0
01	2	cdf	1	20	164.0084986796476	1226	0.9747145187601958
01	2	cdf	1	21	76.4702851174444	1129	1.0
01	2	cdf	1	22	45.43232648428981	1226	1.0
01	2	cdf	1	23	35.23090411886635	1260	1.0
01	2	cdf	2	24	36.095633480423274	1284	1.0
01	2	cdf	2	25	165.56802194678326	984	0.9928861788617886
01	2	cdf	2	26	170.84485382851642	1134	0.937389770723104
01	2	cdf	2	27	38.007163350131265	1151	1.0
01	2	cdf	2	28	36.571929106274425	1185	1.0
01	2	cdf	2	29	220.916551892009	1386	0.9126984126984127
01	2	cdf	2	30	156.65988829882778	1318	0.992412746585736
01	2	cdf	2	31	40.01946644612151	1426	1.0
01	2	cdf	2	32	163.51121902612996	1284	0.9984423676012462
01	2	cdf	2	33	126.25415588443919	1109	1.0
01	2	cdf	2	34	152.0853569507582	1501	0.9933377748167888
01	2	cdf	2	35	131.42449164753899	1059	0.9952785646836638
01	2	cdf	2	36	78.81612529379655	1236	1.0
01	2	cdf	2	37	43.800122312470805	1251	1.0
01	2	cdf	2	38	35.4564992055769	1501	1.0
01	2	cdf	2	39	31.526810052953284	1226	1.0
01	2	cdf	2	40	292.1221073780933	1245	0.9365461847389558
01	2	cdf	2	41	49.31955672600004	1226	1.0
01	2	cdf	2	42	54.17117344806001	1410	1.0
01	2	cdf	2	43	35.9272900477007	1235	1.0
01	2	cdf	2	44	59.209677274614876	1110	1.0
01	2	cdf	2	45	42.4213469591594	876	1.0
