subject	session	orientation	sd_E
3	1	120.0	11.992261729600799
3	1	120.99999237060547	11.079692107426443
3	1	122.0	11.459435257353519
3	1	122.99999237060547	10.552431385579077
3	1	123.99998474121094	9.667295218206077
3	1	124.99999237060547	9.775720202411797
3	1	125.99999237060547	8.87295873188558
3	1	127.0	9.11774758909696
3	1	127.99999237060547	8.703284880071415
3	1	128.99998474121094	8.049849219912758
3	1	130.0	8.290124175856405
3	1	130.99998474121094	7.6354291995695265
3	1	132.0	7.632022642720983
3	1	132.99998474121094	7.255166955265529
3	1	134.0	7.678669419657585
3	1	135.0	8.04162140328383
3	1	135.99998474121094	7.751830990952176
3	1	137.0	8.116835446424012
3	1	137.99998474121094	7.718085587584082
3	1	139.0	8.293095308145361
3	1	139.99998474121094	8.013354665403734
3	1	140.99998474121094	8.663595504578117
3	1	142.0	8.703496615935686
3	1	142.99998474121094	9.343827704398027
3	1	144.0	9.512590579731642
3	1	144.99998474121094	10.225041635640148
3	1	146.0	10.437402462219598
3	1	147.0	11.475808928341332
3	1	147.99998474121094	10.863674568320095
3	1	149.0	11.909957950102145
3	1	149.99998474121094	12.719561616764912
3	1	151.0	13.452904513797195
3	1	151.99998474121094	13.951949724183237
3	1	152.99998474121094	14.494621060345445
3	1	154.0	14.418587394504863
3	1	154.99998474121094	14.432596112492558
3	1	156.0	15.62401845281644
3	1	156.99998474121094	14.742698653642185
3	1	158.0	15.424867212091794
3	1	158.99998474121094	15.262984898573322
3	1	159.99998474121094	14.86459533221211
3	1	161.0	14.830796141104303
3	1	161.99998474121094	14.716730274417797
3	1	163.0	14.345046747711335
3	1	163.99998474121094	14.47499963440729
3	1	164.99998474121094	13.713179971177931
3	1	166.0	13.724733236159008
3	1	166.99998474121094	13.473290067148744
3	1	168.0	12.89518200202522
3	1	168.99998474121094	12.147406915276699
3	1	169.99998474121094	12.21380403797204
3	1	170.99998474121094	10.724674242294812
3	1	171.99998474121094	10.894361754487315
3	1	173.0	11.078426814882697
3	1	173.99998474121094	10.897170669783483
3	1	175.0	10.140612813535974
3	1	175.99998474121094	9.817146153501572
3	1	176.99998474121094	10.095937399948566
3	1	178.0	10.138722558683172
3	1	178.99998474121094	9.411854680984062
3	2	0.0	10.065142638301918
3	2	0.9999999403953552	8.616264854950868
3	2	1.9999998807907104	8.724669348589078
3	2	3.0	8.685587006158267
3	2	3.999999761581421	9.33356363762279
3	2	4.999999523162842	8.843926159044795
3	2	6.0	9.222621728707919
3	2	6.999999523162842	10.155547875929853
3	2	7.999999523162842	9.998552562762525
3	2	9.0	11.470413078897021
3	2	9.999999046325684	10.533043893619995
3	2	10.999999046325684	10.988414313132038
3	2	12.0	10.294473923647912
3	2	12.999999046325684	13.133148354029402
3	2	13.999999046325684	12.922512150215379
3	2	15.0	13.783731556435932
3	2	15.999999046325684	13.759201785805478
3	2	16.999998092651367	13.814211275607114
3	2	18.0	14.097337130856129
3	2	18.999998092651367	13.174244748491722
3	2	19.999998092651367	13.47974118081982
3	2	21.0	14.182484830370447
3	2	21.999998092651367	13.649241716583797
3	2	22.999998092651367	14.216557229045055
3	2	24.0	13.143339850044706
3	2	24.999998092651367	13.803129293678769
3	2	25.999998092651367	13.135431344759478
3	2	27.0	12.996688004601717
3	2	27.999998092651367	12.636807898554684
3	2	28.999998092651367	11.904364025171903
3	2	30.0	10.71441102929322
3	2	30.999996185302734	10.283155446419554
3	2	31.999998092651367	9.837219225698592
3	2	33.0	9.774400268354693
3	2	33.999996185302734	9.112502857588035
3	2	34.999996185302734	8.08451755259245
3	2	36.0	7.707049709432634
3	2	36.999996185302734	7.12374813921896
3	2	37.999996185302734	6.894622613321713
3	2	39.0	6.5575510702342905
3	2	39.999996185302734	5.969904219048019
3	2	40.999996185302734	5.957943277150858
3	2	42.0	6.003660294586692
3	2	42.999996185302734	5.671422817884347
3	2	43.999996185302734	6.078531974494725
3	2	45.0	5.6426600375157765
3	2	45.999996185302734	5.924089871416513
3	2	46.999996185302734	5.742766705086068
3	2	48.0	5.842038382030326
3	2	48.999996185302734	5.6224191987972665
3	2	49.999996185302734	6.167811511570077
3	2	51.0	6.282831470306269
3	2	51.999996185302734	6.642717552768826
3	2	52.999996185302734	7.11431522108835
3	2	54.0	7.996007692459194
3	2	54.999996185302734	8.157481902174757
3	2	55.999996185302734	8.555690468522963
3	2	57.0	9.270556850076716
3	2	57.999996185302734	9.620479394087516
3	2	58.999996185302734	10.383285165878295
3	2	60.0	11.076942102511865
3	2	61.0	11.88288137268492
3	2	61.99999237060547	11.909411534968543
3	2	62.999996185302734	13.009478387596213
3	2	63.999996185302734	13.440073149667679
3	2	65.0	13.31378380568779
3	2	66.0	14.328732840878759
3	2	67.0	15.08908998985209
3	2	67.99999237060547	14.26309643050223
3	2	68.99999237060547	14.974423066518623
3	2	69.99999237060547	14.575041415180467
3	2	71.0	15.641797435225984
3	2	72.0	14.045408056370169
3	2	73.0	13.58907116509057
3	2	73.99999237060547	13.464686590115466
3	2	74.99999237060547	13.370053465391294
3	2	75.99999237060547	13.022836530065463
3	2	77.0	12.338104089356163
3	2	78.0	11.15310981081491
3	2	79.0	12.048975351600353
3	2	79.99999237060547	10.335010242598292
3	2	80.99999237060547	10.277796309242033
3	2	81.99999237060547	10.589004487263555
3	2	83.0	10.577187406225788
3	2	84.0	8.693480143517862
3	2	84.99999237060547	8.956919686031608
3	2	85.99999237060547	9.369453720390268
3	2	86.99999237060547	8.40722179276075
3	2	87.99999237060547	9.020341407569761
3	2	89.0	8.812922222854814
3	2	90.0	9.244981206729603
3	2	90.99999237060547	8.411612750623423
3	2	91.99999237060547	8.707739870957557
3	2	92.99999237060547	9.413561374502919
3	2	93.99999237060547	8.663613433824688
3	2	95.0	9.184172886322626
3	2	96.0	9.373369126331978
3	2	96.99999237060547	9.92295688280247
3	2	97.99999237060547	10.308051485944251
3	2	98.99999237060547	10.3287102468626
3	2	99.99999237060547	10.61919904603689
3	2	100.99999237060547	11.189472030408764
3	2	102.0	11.849354535370267
3	2	102.99999237060547	11.652451280656202
3	2	103.99999237060547	13.677911435624925
3	2	104.99999237060547	13.0205168270686
3	2	105.99999237060547	13.647145702282248
3	2	106.99999237060547	14.96114688631941
3	2	108.0	14.86453386050958
3	2	108.99999237060547	13.519903546913142
3	2	109.99999237060547	14.306678160048788
3	2	110.99999237060547	14.5354246104471
