subject	quantity	roi	session	run	trial_nr	true	post_mean	post_map	post_sd	error
06	value	BensonV1	1	2	35	22.0	27.034641884376438	27.17347	1.2291249281230978	5.034641884376438
06	value	BensonV1	1	2	36	34.0	28.823969678238747	28.765306	1.3609118986268356	-5.176030321761253
06	value	BensonV1	1	2	37	36.0	2.5486956792466318	2.5	1.3740017431412268	-33.451304320753366
06	value	BensonV1	1	2	38	25.5	30.330546792748567	29.561224	1.4155991157523338	4.830546792748567
06	value	BensonV1	1	2	39	11.0	12.298122793206913	12.051021	0.48172724508200915	1.2981227932069128
06	value	BensonV1	1	2	40	14.0	16.686478070374015	16.82653	1.0810455187558452	2.686478070374015
06	value	BensonV1	1	2	41	32.0	41.389099197784006	41.5	0.33225002777870527	9.389099197784006
06	value	BensonV1	1	2	42	16.0	15.163933011485213	15.234694	0.9933967131988404	-0.8360669885147871
06	value	BensonV1	1	2	43	33.0	40.99448834892555	41.5	0.6332924863577029	7.99448834892555
06	value	BensonV1	1	2	44	5.5	7.730600897470289	8.071428	0.6580311932980607	2.230600897470289
06	value	BensonV1	1	2	45	13.0	16.478022900555306	16.030613	1.393587448811772	3.478022900555306
06	value	BensonV1	1	2	46	30.0	28.822412075605556	28.765306	1.5018805641333781	-1.1775879243944445
06	value	BensonV1	1	3	47	38.5	35.24064629568374	35.132652	1.8718464208866972	-3.2593537043162613
06	value	BensonV1	1	3	48	10.0	8.475602458936963	8.867347	0.7109561715396782	-1.5243975410630366
06	value	BensonV1	1	3	49	28.0	29.578373250645395	29.561224	1.305232989208931	1.5783732506453951
06	value	BensonV1	1	3	50	11.0	9.923110748320392	9.663265	0.771641210053142	-1.0768892516796083
06	value	BensonV1	1	3	51	18.5	26.067613911772316	26.37755	1.710680525630175	7.567613911772316
06	value	BensonV1	1	3	52	31.5	34.986781377567084	35.132652	1.7127958202254856	3.486781377567084
06	value	BensonV1	1	3	53	8.0	4.105845504643214	4.091837	0.28417913948582685	-3.894154495356786
06	value	BensonV1	1	3	54	36.0	36.04901771472868	35.92857	1.5555870436663843	0.04901771472867722
06	value	BensonV1	1	3	55	12.5	13.153725133742999	12.846939	0.5624517844261145	0.6537251337429986
06	value	BensonV1	1	3	56	32.5	38.93002174039308	39.112244	0.883130907801391	6.43002174039308
06	value	BensonV1	1	3	57	30.0	22.896354023657445	23.193878	1.2118491570420116	-7.1036459763425555
06	value	BensonV1	1	3	58	16.0	19.52384471453699	20.010204	1.673061013752556	3.5238447145369918
06	value	BensonV1	1	3	59	22.0	16.280149683894166	2.5	17.826908661989005	-5.719850316105834
06	value	BensonV1	1	3	60	12.0	12.195182583290828	12.051021	0.4428017465341907	0.19518258329082805
06	value	BensonV1	1	3	61	5.5	2.5325795626639995	2.5	0.16633755611512757	-2.9674204373360005
06	value	BensonV1	1	3	62	32.0	33.69528606528031	33.540817	1.4166651067149314	1.6952860652803068
06	value	BensonV1	1	3	63	14.0	15.304579402111663	15.234694	0.8213579027559167	1.3045794021116635
06	value	BensonV1	1	3	64	31.0	32.052301529905556	31.94898	1.3992156557394517	1.0523015299055558
06	value	BensonV1	1	3	65	11.5	12.904364038858311	12.846939	0.6987228117626205	1.4043640388583114
06	value	BensonV1	1	3	66	25.5	22.792917825691305	22.397959	1.067259704357996	-2.7070821743086952
06	value	BensonV1	1	3	67	33.0	37.47455496272937	39.112244	1.5566740929363032	4.474554962729371
06	value	BensonV1	1	3	68	34.0	38.1837546097145	39.112244	2.1104354106871788	4.183754609714498
06	value	BensonV1	1	3	69	13.0	13.582354038868568	12.846939	1.0415377626476998	0.5823540388685675
