value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
7.5	8.144114503383637	2.7169317917682214	0.6441145033836365	0.936641839504242	1000	04	2	inverse_cdf	1.6483118005305373	unsmoothed
11.5	11.230801488399504	2.079204896622739	-0.2691985116004944	0.7248324685096741	1000	04	2	inverse_cdf	1.441944831338127	unsmoothed
16.0	16.261945022583006	2.605625942635763	0.2619450225830078	0.7896903915405273	1000	04	2	inverse_cdf	1.6141951377190316	unsmoothed
18.5	18.32564075756073	0.9665301854065748	-0.17435924243927	0.4370891122817993	1000	04	2	inverse_cdf	0.9831226705790965	unsmoothed
20.0	20.526560112953185	6.658518868118096	0.526560112953186	1.6387263288497924	1000	04	2	inverse_cdf	2.5804106006831735	unsmoothed
21.0	21.38827491950989	5.023450970316778	0.3882749195098877	1.1383774433135987	1000	04	2	inverse_cdf	2.241305639647743	unsmoothed
21.5	22.45488972568512	10.799068612017091	0.9548897256851197	2.2892184133529665	1000	04	2	inverse_cdf	3.2861936358067965	unsmoothed
22.0	22.43314032459259	4.385546238422763	0.4331403245925903	0.920235354423523	1000	04	2	inverse_cdf	2.094169582059381	unsmoothed
22.5	23.470141043663023	9.64403138606105	0.9701410436630248	2.037530213356018	1000	04	2	inverse_cdf	3.105484082403426	unsmoothed
23.0	23.71624234390259	8.685355272125506	0.7162423439025879	1.8047034759521483	1000	04	2	inverse_cdf	2.9470926812921077	unsmoothed
24.0	24.25150163936615	1.0894938947713435	0.2515016393661499	0.4244205827713013	1000	04	2	inverse_cdf	1.0437882423036502	unsmoothed
25.5	26.15770196914673	8.335981607274025	0.6577019691467285	1.6800156402587891	1000	04	2	inverse_cdf	2.8872100040132214	unsmoothed
28.0	28.825925945281984	7.10577395738792	0.8259259452819824	1.6736084327697751	1000	04	2	inverse_cdf	2.665665762504354	unsmoothed
32.5	32.87313358688355	4.219546836362654	0.3731335868835449	1.231660701751709	1000	04	2	inverse_cdf	2.0541535571525937	unsmoothed
36.5	35.5658496055603	6.935417754154947	-0.9341503944396972	1.9282897987365724	1000	04	2	inverse_cdf	2.6335181324902526	unsmoothed
39.0	36.97855415344238	7.551174339425939	-2.0214458465576173	2.225117034912109	1000	04	2	inverse_cdf	2.747940017435959	unsmoothed
40.0	38.17835956764221	5.3062684216225104	-1.821640432357788	1.8705705242156985	1000	04	2	inverse_cdf	2.3035338985182117	unsmoothed
41.0	38.7083004283905	5.290526738404502	-2.291699571609497	2.291699571609497	1000	04	2	inverse_cdf	2.3001145054984766	unsmoothed
41.5	37.788698501586914	6.490494689590129	-3.711301498413086	3.711301498413086	1000	04	2	inverse_cdf	2.547644930046204	unsmoothed
2.5	2.951889763355255	5.066723350573333	0.4518897633552551	0.4518897633552551	1000	05	1	inverse_cdf	2.2509383266925225	unsmoothed
3.0	3.95501847577095	14.198025486859333	0.9550184757709504	0.9919108431339264	1000	05	1	inverse_cdf	3.768026736484142	unsmoothed
4.0	9.842762605190275	69.84498872699628	5.842762605190277	5.885175002574921	1000	05	1	inverse_cdf	8.357331435751263	unsmoothed
5.0	9.707163676977158	51.08541839546782	4.707163676977157	4.804754140138626	1000	05	1	inverse_cdf	7.147406410402855	unsmoothed
7.5	8.027318479061126	4.069709451543462	0.5273184790611267	0.5467342686653137	1000	05	1	inverse_cdf	2.017352089136515	unsmoothed
11.5	12.903113883972168	14.8868195096466	1.403113883972168	1.845555585861206	1000	05	1	inverse_cdf	3.8583441409037893	unsmoothed
16.0	16.9791039352417	14.031701245949986	0.9791039352416993	1.8416247253417968	1000	05	1	inverse_cdf	3.745891248548199	unsmoothed
18.5	18.53135500717163	0.6525840831071809	0.0313550071716308	0.2092733154296875	1000	05	1	inverse_cdf	0.8078267655303214	unsmoothed
20.0	19.98744803237915	0.1066268744665483	-0.0125519676208496	0.1070301666259765	1000	05	1	inverse_cdf	0.3265377075722623	unsmoothed
21.0	20.974814043045043	0.6748090485484639	-0.025185956954956	0.2040832386016845	1000	05	1	inverse_cdf	0.8214676186852796	unsmoothed
21.5	21.8361085062027	5.667094434082843	0.3361085062026978	1.1792024869918822	1000	05	1	inverse_cdf	2.3805659902810596	unsmoothed
22.0	22.26888858652115	4.170563546769793	0.2688885865211486	0.8602430396080017	1000	05	1	inverse_cdf	2.042195766024842	unsmoothed
22.5	22.70467625617981	2.959725887470405	0.2046762561798095	0.7632764492034912	1000	05	1	inverse_cdf	1.720385389228357	unsmoothed
23.0	23.21027938270569	3.8265897443338894	0.2102793827056884	0.9574327754974366	1000	05	1	inverse_cdf	1.956167105421694	unsmoothed
24.0	24.467609172344208	7.357743498957339	0.4676091723442078	1.494927547931671	1000	05	1	inverse_cdf	2.7125160827094352	unsmoothed
25.5	25.727963822364806	3.850697957654936	0.2279638223648071	0.9422477598190308	1000	05	1	inverse_cdf	1.9623195350540992	unsmoothed
28.0	28.00546845626831	0.3010204814128878	0.0054684562683105	0.133092056274414	1000	05	1	inverse_cdf	0.5486533344589166	unsmoothed
32.5	32.09293744182587	8.180440405298247	-0.4070625581741333	1.42723912525177	1000	05	1	inverse_cdf	2.860146920229492	unsmoothed
36.5	33.99641068077087	28.70513717789993	-2.503589319229126	3.195793001174927	1000	05	1	inverse_cdf	5.357717534351725	unsmoothed
39.0	33.66572415304184	51.14893627736908	-5.33427584695816	5.483260756015778	1000	05	1	inverse_cdf	7.151848451789864	unsmoothed
40.0	37.183436710834506	27.074174272635734	-2.816563289165497	2.875151156902313	1000	05	1	inverse_cdf	5.203284950167128	unsmoothed
41.0	36.06809823656082	44.87937668837666	-4.931901763439178	4.931947906017303	1000	05	1	inverse_cdf	6.699207168641425	unsmoothed
41.5	35.22553051376343	49.287075763496055	-6.274469486236573	6.274469486236573	1000	05	1	inverse_cdf	7.0204754656288095	unsmoothed
5.5	10.542794373512267	26.835767137543968	5.042794373512268	5.042794373512268	1000	05	2	cdf	5.180325003080788	unsmoothed
