value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
21.0	22.47811014556885	19.892540092197574	1.4781101455688477	3.477697208404541	1000	05	1	inverse_cdf	4.460105390256779	unsmoothed
21.5	22.905321895599364	24.689141730665323	1.4053218955993652	4.070780040740967	1000	05	1	inverse_cdf	4.968816934710447	unsmoothed
22.0	22.56003010630608	24.513416637892053	0.5600301063060761	3.825817118883133	1000	05	1	inverse_cdf	4.951102567902634	unsmoothed
22.5	22.817724737644195	21.23350118576003	0.3177247376441955	3.546331250667572	1000	05	1	inverse_cdf	4.607982333490443	unsmoothed
23.0	23.19190361881256	24.150361985194547	0.191903618812561	3.731968054771423	1000	05	1	inverse_cdf	4.914301780028832	unsmoothed
24.0	23.664049701690672	21.17405160799977	-0.3359502983093261	3.436133979797363	1000	05	1	inverse_cdf	4.601527095215214	unsmoothed
25.5	24.358987154483795	18.655164033570014	-1.1410128455162047	3.069442822933197	1000	05	1	inverse_cdf	4.319162422689151	unsmoothed
28.0	26.453924844264986	12.257847482704706	-1.546075155735016	2.2226428246498107	1000	05	1	inverse_cdf	3.501120889473071	unsmoothed
32.5	27.77730656862259	25.908990731983817	-4.722693431377411	4.922408710002899	1000	05	1	inverse_cdf	5.090087497478193	unsmoothed
36.5	26.308151740550997	34.630288755379766	-10.191848259449005	10.20247895860672	1000	05	1	inverse_cdf	5.884750526180338	unsmoothed
39.0	26.21379327726364	38.35460043791908	-12.786206722736358	12.787207119464874	1000	05	1	inverse_cdf	6.193109109156651	unsmoothed
40.0	28.22340651226044	45.01976213516428	-11.776593487739564	11.776593487739564	1000	05	1	inverse_cdf	6.709676753403571	unsmoothed
41.0	27.05987219190597	44.49135297252195	-13.940127808094024	13.940127808094024	1000	05	1	inverse_cdf	6.6701838784640675	unsmoothed
41.5	25.994128378391267	44.96151349510733	-15.505871621608732	15.505871621608732	1000	05	1	inverse_cdf	6.705334704181987	unsmoothed
5.5	17.371227649211882	30.02728583543729	11.871227649211884	11.871227649211884	1000	05	2	cdf	5.479715853530847	unsmoothed
8.0	17.78781341123581	25.48926632662213	9.78781341123581	9.791893417835237	1000	05	2	cdf	5.048689565285445	unsmoothed
10.0	17.32012222671509	25.00029346768511	7.320122226715088	7.329738573074341	1000	05	2	cdf	5.000029346682388	unsmoothed
11.0	18.189941452026368	22.349125841723044	7.189941452026368	7.208626482009888	1000	05	2	cdf	4.727486207459842	unsmoothed
11.5	19.007647206783293	21.83676083383148	7.507647206783295	7.543422440052033	1000	05	2	cdf	4.672982006581181	unsmoothed
12.0	19.429202969551085	21.714362807338336	7.429202969551087	7.484784718513489	1000	05	2	cdf	4.659867252115487	unsmoothed
12.5	19.517728717803955	19.942940579149333	7.017728717803955	7.082866905212402	1000	05	2	cdf	4.465751961221014	unsmoothed
13.0	18.544171180725098	19.95397172964133	5.5441711807250975	5.597895366668701	1000	05	2	cdf	4.466986873681333	unsmoothed
