subject	session	condition	value	sd_E	variant
06	1	cdf	11.0	4.755750135702187	spherical_dense
06	1	cdf	11.5	4.59614913057045	spherical_dense
06	1	cdf	12.0	4.626161931288134	spherical_dense
06	1	cdf	12.5	4.703517447729635	spherical_dense
06	1	cdf	13.0	4.582787389752422	spherical_dense
06	1	cdf	14.0	4.373264618693671	spherical_dense
06	1	cdf	16.0	4.4873048829382824	spherical_dense
06	1	cdf	18.5	4.060308956869704	spherical_dense
06	1	cdf	22.0	3.838036502227518	spherical_dense
06	1	cdf	25.5	3.959079811377777	spherical_dense
06	1	cdf	28.0	4.7159697694419185	spherical_dense
06	1	cdf	30.0	4.88397218279832	spherical_dense
06	1	cdf	31.0	4.892771576949635	spherical_dense
06	1	cdf	31.5	4.976443248057991	spherical_dense
06	1	cdf	32.0	4.996049813899058	spherical_dense
06	1	cdf	32.5	4.898482640324361	spherical_dense
06	1	cdf	33.0	5.1929364382271235	spherical_dense
06	1	cdf	34.0	5.368564706374533	spherical_dense
06	1	cdf	36.0	5.054362242877803	spherical_dense
06	1	cdf	38.5	2.013594259318196	spherical_dense
06	2	inverse_cdf	2.5	4.11245865847734	spherical_dense
06	2	inverse_cdf	3.0	3.5702161191567874	spherical_dense
06	2	inverse_cdf	4.0	3.6881518962480775	spherical_dense
06	2	inverse_cdf	5.0	2.9874648254713776	spherical_dense
06	2	inverse_cdf	7.5	2.49112522649708	spherical_dense
06	2	inverse_cdf	11.5	2.577495671466968	spherical_dense
06	2	inverse_cdf	16.0	3.2901539362512824	spherical_dense
06	2	inverse_cdf	18.5	4.320406174054137	spherical_dense
06	2	inverse_cdf	20.0	4.275642493835336	spherical_dense
06	2	inverse_cdf	21.0	4.462598156826166	spherical_dense
06	2	inverse_cdf	21.5	4.6070870750336805	spherical_dense
06	2	inverse_cdf	22.0	4.3779460909195445	spherical_dense
06	2	inverse_cdf	22.5	4.18436096765575	spherical_dense
06	2	inverse_cdf	23.0	3.769366789473702	spherical_dense
06	2	inverse_cdf	24.0	2.2894882225312223	spherical_dense
06	2	inverse_cdf	25.5	1.5160767125078807	spherical_dense
06	2	inverse_cdf	28.0	1.8914002357101847	spherical_dense
06	2	inverse_cdf	32.5	1.849426897572002	spherical_dense
06	2	inverse_cdf	36.5	3.2975658528516965	spherical_dense
06	2	inverse_cdf	39.0	4.538312402360478	spherical_dense
06	2	inverse_cdf	40.0	4.6559780679130975	spherical_dense
06	2	inverse_cdf	41.0	5.152432148417862	spherical_dense
06	2	inverse_cdf	41.5	4.507520907717211	spherical_dense
07	1	inverse_cdf	2.5	3.9908093386847248	spherical_dense
07	1	inverse_cdf	3.0	4.1082887575407865	spherical_dense
07	1	inverse_cdf	4.0	4.08825008908743	spherical_dense
07	1	inverse_cdf	5.0	3.6343510528181944	spherical_dense
07	1	inverse_cdf	7.5	3.7703468451491684	spherical_dense
07	1	inverse_cdf	11.5	3.5699978629830715	spherical_dense
07	1	inverse_cdf	16.0	3.991133062752353	spherical_dense
07	1	inverse_cdf	18.5	4.538380239423377	spherical_dense
07	1	inverse_cdf	20.0	5.1515617434971706	spherical_dense
07	1	inverse_cdf	21.0	5.563384192272588	spherical_dense
07	1	inverse_cdf	21.5	5.392065458075796	spherical_dense
07	1	inverse_cdf	22.0	3.2159561739486353	spherical_dense
07	1	inverse_cdf	22.5	5.054196643748447	spherical_dense
07	1	inverse_cdf	23.0	4.938577780556082	spherical_dense
07	1	inverse_cdf	24.0	4.927755880579204	spherical_dense
07	1	inverse_cdf	25.5	4.7375724756713185	spherical_dense
07	1	inverse_cdf	28.0	4.55968493568263	spherical_dense
07	1	inverse_cdf	32.5	3.8413568198958736	spherical_dense
07	1	inverse_cdf	36.5	3.1522825602367144	spherical_dense
07	1	inverse_cdf	39.0	3.4424655235754273	spherical_dense
07	1	inverse_cdf	40.0	4.042966633694203	spherical_dense
07	1	inverse_cdf	41.0	4.287418115560435	spherical_dense
07	1	inverse_cdf	41.5	4.5760954276662895	spherical_dense
07	2	cdf	5.5	5.537024617136755	spherical_dense
07	2	cdf	8.0	5.835921041316834	spherical_dense
07	2	cdf	10.0	5.150354239976631	spherical_dense
07	2	cdf	11.0	5.045923311609955	spherical_dense
07	2	cdf	11.5	4.777276642909004	spherical_dense
07	2	cdf	12.0	4.72646564446084	spherical_dense
07	2	cdf	12.5	4.5446551153359485	spherical_dense
07	2	cdf	13.0	4.302199931940462	spherical_dense
07	2	cdf	14.0	3.830868646627853	spherical_dense
07	2	cdf	16.0	1.9206719290159953	spherical_dense
07	2	cdf	18.5	4.112067917994274	spherical_dense
07	2	cdf	22.0	4.731903414917344	spherical_dense
07	2	cdf	25.5	2.905867940803208	spherical_dense
07	2	cdf	28.0	3.3613861523610757	spherical_dense
07	2	cdf	30.0	2.2796444934902635	spherical_dense
07	2	cdf	31.0	4.717188414770415	spherical_dense
07	2	cdf	31.5	5.042589019398038	spherical_dense
07	2	cdf	32.0	5.347881650511403	spherical_dense
07	2	cdf	32.5	5.419398935575144	spherical_dense
07	2	cdf	33.0	5.635873436398502	spherical_dense
07	2	cdf	34.0	5.634299137508708	spherical_dense
07	2	cdf	36.0	4.787340002221301	spherical_dense
07	2	cdf	38.5	6.283923977178186	spherical_dense
08	1	cdf	5.5	4.803053427432014	spherical_dense
08	1	cdf	8.0	4.207146783136702	spherical_dense
08	1	cdf	10.0	4.630028403035467	spherical_dense
08	1	cdf	11.0	5.117334963177817	spherical_dense
08	1	cdf	11.5	4.648850876373339	spherical_dense
08	1	cdf	12.0	4.670157515901817	spherical_dense
08	1	cdf	12.5	4.511894924728788	spherical_dense
08	1	cdf	13.0	3.631965710638399	spherical_dense
08	1	cdf	14.0	3.8448928157035254	spherical_dense
08	1	cdf	16.0	3.8588272488552446	spherical_dense
08	1	cdf	18.5	3.859260703208004	spherical_dense
08	1	cdf	22.0	3.450074293755045	spherical_dense
08	1	cdf	25.5	3.3382920621142436	spherical_dense
08	1	cdf	28.0	1.4656572362728966	spherical_dense
08	1	cdf	30.0	4.518045887975754	spherical_dense
08	1	cdf	31.0	5.126160820346059	spherical_dense
08	1	cdf	31.5	5.2583352156651895	spherical_dense
08	1	cdf	32.0	4.977993769678431	spherical_dense
08	1	cdf	32.5	5.118050056528346	spherical_dense
08	1	cdf	33.0	4.891728391817979	spherical_dense
08	1	cdf	34.0	4.629898147646013	spherical_dense
08	1	cdf	36.0	4.362294341224921	spherical_dense
08	1	cdf	38.5	4.4861617899881585	spherical_dense
08	2	inverse_cdf	2.5	4.720206229295221	spherical_dense
08	2	inverse_cdf	3.0	4.422806486620136	spherical_dense
08	2	inverse_cdf	4.0	3.8201503380802424	spherical_dense
08	2	inverse_cdf	5.0	4.451793836111201	spherical_dense
08	2	inverse_cdf	7.5	5.266807527232622	spherical_dense
08	2	inverse_cdf	11.5	3.656057682617013	spherical_dense
08	2	inverse_cdf	16.0	4.119662593522948	spherical_dense
08	2	inverse_cdf	18.5	4.8732643470108705	spherical_dense
08	2	inverse_cdf	20.0	4.349593762356026	spherical_dense
08	2	inverse_cdf	21.0	4.710404173965939	spherical_dense
08	2	inverse_cdf	21.5	3.8663780712793905	spherical_dense
08	2	inverse_cdf	22.0	3.1735255907853204	spherical_dense
08	2	inverse_cdf	22.5	4.99709317403513	spherical_dense
08	2	inverse_cdf	23.0	5.451318477624635	spherical_dense
08	2	inverse_cdf	24.0	5.61264026828026	spherical_dense
08	2	inverse_cdf	25.5	5.115564212900339	spherical_dense
08	2	inverse_cdf	28.0	5.114551884024848	spherical_dense
08	2	inverse_cdf	32.5	3.3517486601917965	spherical_dense
08	2	inverse_cdf	36.5	3.7844469007121804	spherical_dense
08	2	inverse_cdf	39.0	5.0893977800499455	spherical_dense
08	2	inverse_cdf	40.0	5.739423810303356	spherical_dense
08	2	inverse_cdf	41.0	5.86995757199544	spherical_dense
08	2	inverse_cdf	41.5	5.85354412135601	spherical_dense
09	1	inverse_cdf	2.5	7.982058615763158	spherical_dense
09	1	inverse_cdf	3.0	6.881513784439417	spherical_dense
09	1	inverse_cdf	4.0	6.823587661603964	spherical_dense
09	1	inverse_cdf	5.0	6.697435918746596	spherical_dense
09	1	inverse_cdf	7.5	5.993830773510094	spherical_dense
09	1	inverse_cdf	11.5	2.903448745336411	spherical_dense
09	1	inverse_cdf	16.0	1.478841351700038	spherical_dense
09	1	inverse_cdf	18.5	5.03612462593428	spherical_dense
09	1	inverse_cdf	20.0	5.9691411582180764	spherical_dense
09	1	inverse_cdf	21.0	6.379875453655153	spherical_dense
09	1	inverse_cdf	21.5	6.810777960829537	spherical_dense
09	1	inverse_cdf	22.0	6.612023452292104	spherical_dense
09	1	inverse_cdf	22.5	5.996305587920496	spherical_dense
09	1	inverse_cdf	23.0	4.8517987986054525	spherical_dense
09	1	inverse_cdf	24.0	1.5139840271105052	spherical_dense
09	1	inverse_cdf	25.5	0.3547312437192802	spherical_dense
09	1	inverse_cdf	28.0	2.673305072380488	spherical_dense
09	1	inverse_cdf	32.5	5.552608048789947	spherical_dense
09	1	inverse_cdf	36.5	5.948053516927776	spherical_dense
09	1	inverse_cdf	39.0	5.625507818517601	spherical_dense
09	1	inverse_cdf	40.0	5.854648015541465	spherical_dense
09	1	inverse_cdf	41.0	5.785328246275513	spherical_dense
09	1	inverse_cdf	41.5	6.3202100097586955	spherical_dense
09	2	cdf	5.5	4.3802415614681065	spherical_dense
09	2	cdf	8.0	3.898193120684379	spherical_dense
09	2	cdf	10.0	2.067407589810815	spherical_dense
09	2	cdf	11.0	2.942911559973706	spherical_dense
09	2	cdf	11.5	2.907224263239769	spherical_dense
09	2	cdf	12.0	2.454159163488321	spherical_dense
09	2	cdf	12.5	2.298387058713919	spherical_dense
09	2	cdf	13.0	1.9080934577909492	spherical_dense
09	2	cdf	14.0	0.8528350057797736	spherical_dense
09	2	cdf	16.0	3.1256429180461924	spherical_dense
09	2	cdf	18.5	4.330157406394142	spherical_dense
09	2	cdf	22.0	3.671791282524496	spherical_dense
09	2	cdf	25.5	3.9015425570908313	spherical_dense
09	2	cdf	28.0	3.7940243289747726	spherical_dense
09	2	cdf	30.0	2.592012326362424	spherical_dense
09	2	cdf	31.0	2.477617296188696	spherical_dense
09	2	cdf	31.5	2.9842962138407927	spherical_dense
09	2	cdf	32.0	3.293234025774726	spherical_dense
09	2	cdf	32.5	3.317815437699704	spherical_dense
09	2	cdf	33.0	3.5294555748472662	spherical_dense
09	2	cdf	34.0	3.016842481046083	spherical_dense
09	2	cdf	36.0	3.8035970819862643	spherical_dense
09	2	cdf	38.5	3.958994139320909	spherical_dense
10	1	cdf	5.5	5.292306453853267	spherical_dense
10	1	cdf	8.0	4.870145821890819	spherical_dense
10	1	cdf	10.0	6.093677525695944	spherical_dense
10	1	cdf	11.0	5.387425148906159	spherical_dense
10	1	cdf	11.5	5.128001596596418	spherical_dense
10	1	cdf	12.0	5.201677466229403	spherical_dense
10	1	cdf	12.5	4.954641957578086	spherical_dense
10	1	cdf	13.0	4.405131925800139	spherical_dense
10	1	cdf	14.0	2.7302097546504935	spherical_dense
10	1	cdf	16.0	0.8448856379375143	spherical_dense
10	1	cdf	18.5	1.5212288423595417	spherical_dense
10	1	cdf	22.0	2.7946105286100633	spherical_dense
10	1	cdf	25.5	3.8158973064812205	spherical_dense
10	1	cdf	28.0	4.098531012073632	spherical_dense
10	1	cdf	30.0	4.299436257249552	spherical_dense
10	1	cdf	31.0	4.5466370271837535	spherical_dense
10	1	cdf	31.5	4.635359549024876	spherical_dense
10	1	cdf	32.0	4.507654982926267	spherical_dense
10	1	cdf	32.5	4.5142208093341685	spherical_dense
10	1	cdf	33.0	1.9279242155566685	spherical_dense
10	1	cdf	34.0	4.706534304095521	spherical_dense
10	1	cdf	36.0	3.6019370417334975	spherical_dense
10	1	cdf	38.5	5.737582621473125	spherical_dense
10	2	inverse_cdf	2.5	6.606736403079427	spherical_dense
10	2	inverse_cdf	3.0	4.933037016143465	spherical_dense
10	2	inverse_cdf	4.0	5.773507302955921	spherical_dense
10	2	inverse_cdf	5.0	4.895062187663301	spherical_dense
10	2	inverse_cdf	7.5	4.812636243920862	spherical_dense
10	2	inverse_cdf	11.5	2.1694648424822556	spherical_dense
10	2	inverse_cdf	16.0	3.0287647494540475	spherical_dense
10	2	inverse_cdf	18.5	3.342611258025182	spherical_dense
10	2	inverse_cdf	20.0	4.329449774227452	spherical_dense
10	2	inverse_cdf	21.0	4.893642514525984	spherical_dense
10	2	inverse_cdf	21.5	4.857013007437536	spherical_dense
10	2	inverse_cdf	22.0	4.137499058276467	spherical_dense
10	2	inverse_cdf	22.5	4.809209207831196	spherical_dense
10	2	inverse_cdf	23.0	5.044099989634265	spherical_dense
10	2	inverse_cdf	24.0	5.169832151062562	spherical_dense
10	2	inverse_cdf	25.5	4.48243532561002	spherical_dense
10	2	inverse_cdf	28.0	5.467028166931999	spherical_dense
10	2	inverse_cdf	32.5	3.74261089439883	spherical_dense
10	2	inverse_cdf	36.5	4.651199819437205	spherical_dense
10	2	inverse_cdf	39.0	4.174218925896875	spherical_dense
10	2	inverse_cdf	40.0	5.274022053297595	spherical_dense
10	2	inverse_cdf	41.0	5.1282595336188	spherical_dense
10	2	inverse_cdf	41.5	4.822217523661672	spherical_dense
11	1	inverse_cdf	2.5	8.922261880746374	spherical_dense
11	1	inverse_cdf	3.0	9.540409204216939	spherical_dense
11	1	inverse_cdf	4.0	8.14652865258564	spherical_dense
11	1	inverse_cdf	5.0	7.618101776410357	spherical_dense
11	1	inverse_cdf	7.5	5.001995273430636	spherical_dense
11	1	inverse_cdf	11.5	3.416396005322983	spherical_dense
11	1	inverse_cdf	16.0	2.4650756211468607	spherical_dense
11	1	inverse_cdf	18.5	4.335600309313878	spherical_dense
11	1	inverse_cdf	20.0	4.655470032816307	spherical_dense
11	1	inverse_cdf	21.0	4.660372848225082	spherical_dense
11	1	inverse_cdf	21.5	4.513267316244597	spherical_dense
11	1	inverse_cdf	22.0	3.660943721071225	spherical_dense
11	1	inverse_cdf	22.5	5.1452582529999775	spherical_dense
11	1	inverse_cdf	23.0	4.989112164414317	spherical_dense
11	1	inverse_cdf	24.0	4.378810830294799	spherical_dense
11	1	inverse_cdf	25.5	1.8280081694698884	spherical_dense
11	1	inverse_cdf	28.0	4.871469003697277	spherical_dense
11	1	inverse_cdf	32.5	5.621387132824675	spherical_dense
11	1	inverse_cdf	36.5	4.430469251517143	spherical_dense
11	1	inverse_cdf	39.0	6.330395967898607	spherical_dense
11	1	inverse_cdf	40.0	6.889247746679287	spherical_dense
11	1	inverse_cdf	41.0	6.806995872525034	spherical_dense
11	1	inverse_cdf	41.5	6.820451868704627	spherical_dense
11	2	cdf	5.5	4.949190891588156	spherical_dense
11	2	cdf	8.0	4.550511048017745	spherical_dense
11	2	cdf	10.0	1.659409844080824	spherical_dense
11	2	cdf	11.0	1.8195991729555632	spherical_dense
11	2	cdf	11.5	3.0692935545146756	spherical_dense
11	2	cdf	12.0	3.4426872533670982	spherical_dense
11	2	cdf	12.5	4.549495432069057	spherical_dense
11	2	cdf	13.0	4.216722008148102	spherical_dense
11	2	cdf	14.0	4.08942570637324	spherical_dense
11	2	cdf	16.0	3.1813127823471743	spherical_dense
11	2	cdf	18.5	2.935306202611692	spherical_dense
11	2	cdf	22.0	3.3321172607348912	spherical_dense
11	2	cdf	25.5	3.3094731544772062	spherical_dense
11	2	cdf	28.0	3.068209483823134	spherical_dense
11	2	cdf	30.0	2.3878098153272758	spherical_dense
11	2	cdf	31.0	2.221133076141647	spherical_dense
11	2	cdf	31.5	3.14610146855735	spherical_dense
11	2	cdf	32.0	4.386637255024299	spherical_dense
11	2	cdf	32.5	4.50709429667537	spherical_dense
11	2	cdf	33.0	4.860858066852282	spherical_dense
11	2	cdf	34.0	4.541017080858088	spherical_dense
11	2	cdf	36.0	4.856807092352677	spherical_dense
11	2	cdf	38.5	4.8825434379372785	spherical_dense
12	1	cdf	5.5	6.605932646942378	spherical_dense
12	1	cdf	8.0	1.802675501337909	spherical_dense
12	1	cdf	10.0	0.6216696434411683	spherical_dense
12	1	cdf	11.0	0.5895656470717159	spherical_dense
12	1	cdf	11.5	0.6879280625325981	spherical_dense
12	1	cdf	12.0	0.8978877634322824	spherical_dense
12	1	cdf	12.5	1.2233375987764983	spherical_dense
12	1	cdf	13.0	1.6224161519697777	spherical_dense
12	1	cdf	14.0	2.3961435447413	spherical_dense
12	1	cdf	16.0	4.143285380727049	spherical_dense
12	1	cdf	18.5	3.7793332778298816	spherical_dense
12	1	cdf	22.0	3.5041440644101836	spherical_dense
12	1	cdf	25.5	3.7015992015431367	spherical_dense
12	1	cdf	28.0	3.9779571391506474	spherical_dense
12	1	cdf	30.0	3.924029734968164	spherical_dense
12	1	cdf	31.0	3.7298856755992102	spherical_dense
12	1	cdf	31.5	3.1897294368311484	spherical_dense
12	1	cdf	32.0	2.9435332131225045	spherical_dense
12	1	cdf	32.5	3.0066444931224034	spherical_dense
12	1	cdf	33.0	3.519933881099434	spherical_dense
12	1	cdf	34.0	3.533530689381762	spherical_dense
12	1	cdf	36.0	3.760036835169156	spherical_dense
12	1	cdf	38.5	3.5914368008566453	spherical_dense
12	2	inverse_cdf	2.5	3.0178749613057816	spherical_dense
12	2	inverse_cdf	3.0	3.7970761295226443	spherical_dense
12	2	inverse_cdf	4.0	4.109258375111627	spherical_dense
12	2	inverse_cdf	5.0	3.4894002870567613	spherical_dense
12	2	inverse_cdf	7.5	1.9484576005609522	spherical_dense
12	2	inverse_cdf	11.5	3.123181920405291	spherical_dense
12	2	inverse_cdf	16.0	3.7401195817709474	spherical_dense
12	2	inverse_cdf	18.5	4.667079152139969	spherical_dense
12	2	inverse_cdf	20.0	4.51577204246727	spherical_dense
12	2	inverse_cdf	21.0	4.295836254180625	spherical_dense
12	2	inverse_cdf	21.5	3.8655956469391084	spherical_dense
12	2	inverse_cdf	22.0	2.9124609190083817	spherical_dense
12	2	inverse_cdf	22.5	3.8589076844172814	spherical_dense
12	2	inverse_cdf	23.0	4.140381527559306	spherical_dense
12	2	inverse_cdf	24.0	4.35997714430152	spherical_dense
12	2	inverse_cdf	25.5	4.397593475224055	spherical_dense
12	2	inverse_cdf	28.0	3.8752118185590954	spherical_dense
12	2	inverse_cdf	32.5	1.9436077651058066	spherical_dense
12	2	inverse_cdf	36.5	3.5153488420729735	spherical_dense
12	2	inverse_cdf	39.0	3.9680876487118018	spherical_dense
12	2	inverse_cdf	40.0	5.108690889126237	spherical_dense
12	2	inverse_cdf	41.0	5.046203520705948	spherical_dense
12	2	inverse_cdf	41.5	4.975008595743095	spherical_dense
13	1	inverse_cdf	2.5	0.3843217614682166	spherical_dense
13	1	inverse_cdf	3.0	6.9600857777635134	spherical_dense
13	1	inverse_cdf	4.0	9.955417541536667	spherical_dense
13	1	inverse_cdf	5.0	9.412860991373874	spherical_dense
13	1	inverse_cdf	7.5	5.183474702465675	spherical_dense
13	1	inverse_cdf	11.5	2.4248202376823906	spherical_dense
13	1	inverse_cdf	16.0	2.4032963821381546	spherical_dense
13	1	inverse_cdf	18.5	3.4325556005676687	spherical_dense
13	1	inverse_cdf	20.0	3.975409746295892	spherical_dense
