subject	orientation	response	mapping	value
2	97.5	24.5	cdf	25.5
2	90.0	21.5	cdf	22.0
2	45.0	12.0	cdf	12.0
2	165.0	34.5	cdf	36.0
2	67.5	15.0	cdf	14.0
2	60.0	13.0	cdf	13.0
2	30.0	12.0	cdf	11.0
2	120.0	32.0	cdf	31.0
2	37.5	13.0	cdf	11.5
2	82.5	17.5	cdf	18.5
2	165.0	35.0	cdf	36.0
2	157.5	36.0	cdf	34.0
2	150.0	34.0	cdf	33.0
2	97.5	26.5	cdf	25.5
2	105.0	31.0	cdf	28.0
2	67.5	16.5	cdf	14.0
2	142.5	30.5	cdf	32.5
2	15.0	8.0	cdf	8.0
2	112.5	30.0	cdf	30.0
2	52.5	18.0	cdf	12.5
2	127.5	30.5	cdf	31.5
2	172.5	38.0	cdf	38.5
2	45.0	12.5	cdf	12.0
2	75.0	18.0	cdf	16.0
2	22.5	11.5	cdf	10.0
2	135.0	33.0	cdf	32.0
2	60.0	14.0	cdf	13.0
2	7.5	4.5	cdf	5.5
2	90.0	22.5	cdf	22.0
2	150.0	34.0	cdf	33.0
2	157.5	35.5	cdf	34.0
2	142.5	31.5	cdf	32.5
2	37.5	13.0	cdf	11.5
2	75.0	15.0	cdf	16.0
2	60.0	12.0	cdf	13.0
2	7.5	6.5	cdf	5.5
2	90.0	23.0	cdf	22.0
2	67.5	14.5	cdf	14.0
2	105.0	30.5	cdf	28.0
2	15.0	9.0	cdf	8.0
2	22.5	10.5	cdf	10.0
2	112.5	30.0	cdf	30.0
2	165.0	31.5	cdf	36.0
2	30.0	13.0	cdf	11.0
2	127.5	32.0	cdf	31.5
2	172.5	38.0	cdf	38.5
2	120.0	30.5	cdf	31.0
2	45.0	11.0	cdf	12.0
2	52.5	12.0	cdf	12.5
2	97.5	25.5	cdf	25.5
2	82.5	16.5	cdf	18.5
2	135.0	31.5	cdf	32.0
2	30.0	13.5	cdf	11.0
2	82.5	17.5	cdf	18.5
2	105.0	26.0	cdf	28.0
2	22.5	10.0	cdf	10.0
2	142.5	34.5	cdf	32.5
2	127.5	33.0	cdf	31.5
2	52.5	13.5	cdf	12.5
2	60.0	13.0	cdf	13.0
2	165.0	34.0	cdf	36.0
2	67.5	21.5	cdf	14.0
2	150.0	35.5	cdf	33.0
2	90.0	22.0	cdf	22.0
2	97.5	24.0	cdf	25.5
2	112.5	30.5	cdf	30.0
2	15.0	7.0	cdf	8.0
2	45.0	12.0	cdf	12.0
2	120.0	31.0	cdf	31.0
2	75.0	16.0	cdf	16.0
2	37.5	12.0	cdf	11.5
2	157.5	34.5	cdf	34.0
2	172.5	37.5	cdf	38.5
2	135.0	33.0	cdf	32.0
2	7.5	6.5	cdf	5.5
2	75.0	14.0	cdf	16.0
2	150.0	33.5	cdf	33.0
2	165.0	35.5	cdf	36.0
2	105.0	33.0	cdf	28.0
2	7.5	6.0	cdf	5.5
2	172.5	39.0	cdf	38.5
2	60.0	14.5	cdf	13.0
2	22.5	10.5	cdf	10.0
2	97.5	24.5	cdf	25.5
2	37.5	11.5	cdf	11.5
2	127.5	32.0	cdf	31.5
2	30.0	11.0	cdf	11.0
2	135.0	33.0	cdf	32.0
2	15.0	9.0	cdf	8.0
2	142.5	32.0	cdf	32.5
