value	fi	subject	session	condition	variant
49.751255	0.003334104	03	1	inverse_cdf	unsmoothed
50.0	0.0025934037	03	1	inverse_cdf	unsmoothed
0.5	1.5611074	03	2	cdf	unsmoothed
0.7487437	1.5981222	03	2	cdf	unsmoothed
0.9974874	1.5721654	03	2	cdf	unsmoothed
1.2462312	1.3485303	03	2	cdf	unsmoothed
1.4949749	1.0661418	03	2	cdf	unsmoothed
1.7437186	0.83226293	03	2	cdf	unsmoothed
1.9924623	0.68644285	03	2	cdf	unsmoothed
2.241206	0.6221638	03	2	cdf	unsmoothed
2.4899497	0.6167025	03	2	cdf	unsmoothed
2.7386935	0.6555981	03	2	cdf	unsmoothed
2.9874372	0.7392089	03	2	cdf	unsmoothed
3.236181	0.8648096	03	2	cdf	unsmoothed
3.4849246	1.0017757	03	2	cdf	unsmoothed
3.7336683	1.0920991	03	2	cdf	unsmoothed
3.982412	1.2243708	03	2	cdf	unsmoothed
4.231156	3.101796	03	2	cdf	unsmoothed
4.4798994	12.171324	03	2	cdf	unsmoothed
4.7286434	18.205471	03	2	cdf	unsmoothed
4.977387	73.155624	03	2	cdf	unsmoothed
5.2261305	132.8894	03	2	cdf	unsmoothed
5.4748745	311.58896	03	2	cdf	unsmoothed
5.723618	166.41945	03	2	cdf	unsmoothed
5.972362	6.9490156	03	2	cdf	unsmoothed
6.2211056	131.91495	03	2	cdf	unsmoothed
6.469849	22.12432	03	2	cdf	unsmoothed
6.718593	1.1398951	03	2	cdf	unsmoothed
6.9673367	0.5722685	03	2	cdf	unsmoothed
7.21608	0.47624093	03	2	cdf	unsmoothed
7.464824	0.4838395	03	2	cdf	unsmoothed
7.7135677	0.57299304	03	2	cdf	unsmoothed
7.9623117	0.6938794	03	2	cdf	unsmoothed
8.211055	0.77686536	03	2	cdf	unsmoothed
8.459799	0.76037836	03	2	cdf	unsmoothed
8.708543	0.63045233	03	2	cdf	unsmoothed
8.957287	0.4393553	03	2	cdf	unsmoothed
9.20603	0.28507334	03	2	cdf	unsmoothed
9.454774	0.2965924	03	2	cdf	unsmoothed
9.703518	2.0493484	03	2	cdf	unsmoothed
9.952261	13.864545	03	2	cdf	unsmoothed
10.201005	13.100127	03	2	cdf	unsmoothed
10.449749	2.01745	03	2	cdf	unsmoothed
10.698492	15.922263	03	2	cdf	unsmoothed
10.947236	20.223948	03	2	cdf	unsmoothed
11.19598	57.90951	03	2	cdf	unsmoothed
11.444724	101.72646	03	2	cdf	unsmoothed
11.693467	1.3070378	03	2	cdf	unsmoothed
11.942211	0.5657403	03	2	cdf	unsmoothed
12.190955	0.52523124	03	2	cdf	unsmoothed
12.439698	0.47200683	03	2	cdf	unsmoothed
12.688442	0.5160762	03	2	cdf	unsmoothed
12.937186	2.4714117	03	2	cdf	unsmoothed
13.185929	9.949735	03	2	cdf	unsmoothed
13.434673	12.206635	03	2	cdf	unsmoothed
13.683417	39.99665	03	2	cdf	unsmoothed
13.93216	34.490402	03	2	cdf	unsmoothed
14.180904	14.644979	03	2	cdf	unsmoothed
14.429648	1.3789624	03	2	cdf	unsmoothed
14.678392	0.23276316	03	2	cdf	unsmoothed
14.927135	0.23649631	03	2	cdf	unsmoothed
15.1758795	0.47730434	03	2	cdf	unsmoothed
15.4246235	0.81834257	03	2	cdf	unsmoothed
15.673367	1.5433325	03	2	cdf	unsmoothed
15.922111	9.516139	03	2	cdf	unsmoothed
16.170855	21.459627	03	2	cdf	unsmoothed
16.419598	40.85209	03	2	cdf	unsmoothed
16.668343	0.5133295	03	2	cdf	unsmoothed
16.917086	2.316985	03	2	cdf	unsmoothed
17.165829	2.4290326	03	2	cdf	unsmoothed
17.414574	1.1343592	03	2	cdf	unsmoothed
17.663317	0.357653	03	2	cdf	unsmoothed
17.91206	0.456364	03	2	cdf	unsmoothed
18.160805	4.0318832	03	2	cdf	unsmoothed
18.409548	34.532093	03	2	cdf	unsmoothed
18.65829	149.96748	03	2	cdf	unsmoothed
18.907036	62.923615	03	2	cdf	unsmoothed
19.155779	72.55837	03	2	cdf	unsmoothed
19.404522	100.031654	03	2	cdf	unsmoothed
19.653267	60.723026	03	2	cdf	unsmoothed
19.90201	19.284689	03	2	cdf	unsmoothed
20.150753	3.482846	03	2	cdf	unsmoothed
20.399498	1.2740564	03	2	cdf	unsmoothed
20.648241	1.445174	03	2	cdf	unsmoothed
20.896984	2.7689362	03	2	cdf	unsmoothed
21.14573	3.5662682	03	2	cdf	unsmoothed
21.394472	8.540075	03	2	cdf	unsmoothed
21.643215	54.833134	03	2	cdf	unsmoothed
21.89196	59.7164	03	2	cdf	unsmoothed
22.140703	30.588009	03	2	cdf	unsmoothed
22.389448	39.937843	03	2	cdf	unsmoothed
22.638191	9.75351	03	2	cdf	unsmoothed
22.886934	11.273524	03	2	cdf	unsmoothed
23.13568	16.048471	03	2	cdf	unsmoothed
23.384422	20.750168	03	2	cdf	unsmoothed
23.633165	18.37165	03	2	cdf	unsmoothed
23.88191	10.994467	03	2	cdf	unsmoothed
24.130653	22.225224	03	2	cdf	unsmoothed
24.379396	53.847668	03	2	cdf	unsmoothed
24.628141	40.69308	03	2	cdf	unsmoothed
24.876884	21.06013	03	2	cdf	unsmoothed
25.125628	51.77891	03	2	cdf	unsmoothed
25.374372	50.285904	03	2	cdf	unsmoothed
25.623116	24.57284	03	2	cdf	unsmoothed
25.871859	13.027859	03	2	cdf	unsmoothed
26.120604	8.521793	03	2	cdf	unsmoothed
26.369347	3.36965	03	2	cdf	unsmoothed
26.61809	0.39256302	03	2	cdf	unsmoothed
26.866835	2.4631646	03	2	cdf	unsmoothed
27.115578	6.60671	03	2	cdf	unsmoothed
27.36432	16.623486	03	2	cdf	unsmoothed
27.613066	89.94131	03	2	cdf	unsmoothed
27.861809	82.76418	03	2	cdf	unsmoothed
28.110552	14.50041	03	2	cdf	unsmoothed
28.359297	5.536588	03	2	cdf	unsmoothed
28.60804	4.6375012	03	2	cdf	unsmoothed
28.856785	2.331586	03	2	cdf	unsmoothed
29.105528	0.7221257	03	2	cdf	unsmoothed
29.35427	1.872024	03	2	cdf	unsmoothed
29.603016	10.0362015	03	2	cdf	unsmoothed
29.851759	9.68949	03	2	cdf	unsmoothed
30.100502	21.159857	03	2	cdf	unsmoothed
30.349247	8.954858	03	2	cdf	unsmoothed
30.59799	36.229603	03	2	cdf	unsmoothed
30.846733	10.005992	03	2	cdf	unsmoothed
31.095478	13.313342	03	2	cdf	unsmoothed
31.344221	0.29509228	03	2	cdf	unsmoothed
31.592964	0.4852605	03	2	cdf	unsmoothed
31.84171	0.7883909	03	2	cdf	unsmoothed
32.090454	0.73177683	03	2	cdf	unsmoothed
32.339195	0.54922223	03	2	cdf	unsmoothed
32.58794	0.75068116	03	2	cdf	unsmoothed
32.836685	1.6281251	03	2	cdf	unsmoothed
33.085426	2.0954254	03	2	cdf	unsmoothed
33.33417	0.9243229	03	2	cdf	unsmoothed
33.582916	0.38595143	03	2	cdf	unsmoothed
33.831657	2.1323078	03	2	cdf	unsmoothed
34.080402	3.6314943	03	2	cdf	unsmoothed
34.329147	4.622523	03	2	cdf	unsmoothed
34.57789	23.266062	03	2	cdf	unsmoothed
34.826633	103.46958	03	2	cdf	unsmoothed
35.07538	103.76449	03	2	cdf	unsmoothed
35.32412	3.467503	03	2	cdf	unsmoothed
35.572865	113.58265	03	2	cdf	unsmoothed
35.82161	102.36564	03	2	cdf	unsmoothed
36.07035	25.166492	03	2	cdf	unsmoothed
36.319096	6.208327	03	2	cdf	unsmoothed
36.56784	1.0632952	03	2	cdf	unsmoothed
36.81658	0.23889847	03	2	cdf	unsmoothed
37.065327	0.24792068	03	2	cdf	unsmoothed
37.31407	0.30479336	03	2	cdf	unsmoothed
37.562813	0.3563396	03	2	cdf	unsmoothed
37.811558	0.392477	03	2	cdf	unsmoothed
38.060303	0.40848386	03	2	cdf	unsmoothed
38.309044	0.6822176	03	2	cdf	unsmoothed
38.55779	138.33011	03	2	cdf	unsmoothed
38.806534	123.156204	03	2	cdf	unsmoothed
39.055275	3.1254387	03	2	cdf	unsmoothed
39.30402	0.27053308	03	2	cdf	unsmoothed
39.552765	0.23413381	03	2	cdf	unsmoothed
39.801506	0.20348902	03	2	cdf	unsmoothed
40.05025	0.17944773	03	2	cdf	unsmoothed
40.298996	0.16191252	03	2	cdf	unsmoothed
40.547737	0.15016608	03	2	cdf	unsmoothed
40.796482	0.14320925	03	2	cdf	unsmoothed
41.045227	0.13999471	03	2	cdf	unsmoothed
41.29397	0.13955158	03	2	cdf	unsmoothed
41.542713	0.14103375	03	2	cdf	unsmoothed
41.79146	0.14371908	03	2	cdf	unsmoothed
42.0402	0.14698811	03	2	cdf	unsmoothed
42.288944	0.15030345	03	2	cdf	unsmoothed
42.53769	0.15319586	03	2	cdf	unsmoothed
42.78643	0.15526347	03	2	cdf	unsmoothed
43.035175	0.15618047	03	2	cdf	unsmoothed
43.28392	0.15571082	03	2	cdf	unsmoothed
43.53266	0.15372138	03	2	cdf	unsmoothed
43.781406	0.15019128	03	2	cdf	unsmoothed
44.03015	0.14521253	03	2	cdf	unsmoothed
44.278896	0.13898122	03	2	cdf	unsmoothed
44.527637	0.1317792	03	2	cdf	unsmoothed
44.776382	0.12394811	03	2	cdf	unsmoothed
45.025127	0.115859	03	2	cdf	unsmoothed
45.27387	0.107880585	03	2	cdf	unsmoothed
45.522614	0.10034906	03	2	cdf	unsmoothed
45.77136	0.09354378	03	2	cdf	unsmoothed
46.0201	0.08766949	03	2	cdf	unsmoothed
46.268845	0.08284624	03	2	cdf	unsmoothed
46.51759	0.079109296	03	2	cdf	unsmoothed
46.76633	0.0764143	03	2	cdf	unsmoothed
47.015076	0.07465005	03	2	cdf	unsmoothed
47.26382	0.0736547	03	2	cdf	unsmoothed
47.51256	0.07323411	03	2	cdf	unsmoothed
47.761307	0.07318044	03	2	cdf	unsmoothed
48.01005	0.07328892	03	2	cdf	unsmoothed
48.258793	0.07337259	03	2	cdf	unsmoothed
48.507538	0.0732723	03	2	cdf	unsmoothed
48.756283	0.07286443	03	2	cdf	unsmoothed
49.005024	0.07206311	03	2	cdf	unsmoothed
49.25377	0.07082079	03	2	cdf	unsmoothed
49.502514	0.06912485	03	2	cdf	unsmoothed
49.751255	0.066992864	03	2	cdf	unsmoothed
50.0	0.06446646	03	2	cdf	unsmoothed
0.5	12.184848	04	1	cdf	unsmoothed
0.7487437	7.81738	04	1	cdf	unsmoothed
0.9974874	7.1756096	04	1	cdf	unsmoothed
1.2462312	6.917162	04	1	cdf	unsmoothed
1.4949749	6.3443613	04	1	cdf	unsmoothed
1.7437186	5.5221252	04	1	cdf	unsmoothed
1.9924623	4.657483	04	1	cdf	unsmoothed
2.241206	3.8900871	04	1	cdf	unsmoothed
2.4899497	3.270299	04	1	cdf	unsmoothed
2.7386935	2.7921586	04	1	cdf	unsmoothed
2.9874372	2.4266171	04	1	cdf	unsmoothed
3.236181	2.14185	04	1	cdf	unsmoothed
3.4849246	1.9123429	04	1	cdf	unsmoothed
3.7336683	1.7210611	04	1	cdf	unsmoothed
3.982412	1.5580925	04	1	cdf	unsmoothed
4.231156	1.4178915	04	1	cdf	unsmoothed
4.4798994	1.2965103	04	1	cdf	unsmoothed
4.7286434	1.1897669	04	1	cdf	unsmoothed
4.977387	1.0927727	04	1	cdf	unsmoothed
5.2261305	1.0006888	04	1	cdf	unsmoothed
5.4748745	0.91006964	04	1	cdf	unsmoothed
5.723618	0.8200585	04	1	cdf	unsmoothed
5.972362	0.7328506	04	1	cdf	unsmoothed
6.2211056	0.65322214	04	1	cdf	unsmoothed
6.469849	0.5872134	04	1	cdf	unsmoothed
6.718593	0.54027146	04	1	cdf	unsmoothed
6.9673367	0.515363	04	1	cdf	unsmoothed
7.21608	0.5117051	04	1	cdf	unsmoothed
7.464824	0.5247247	04	1	cdf	unsmoothed
7.7135677	0.54741186	04	1	cdf	unsmoothed
7.9623117	0.5725169	04	1	cdf	unsmoothed
8.211055	0.59449947	04	1	cdf	unsmoothed
8.459799	0.61024696	04	1	cdf	unsmoothed
8.708543	0.6183855	04	1	cdf	unsmoothed
8.957287	0.6179383	04	1	cdf	unsmoothed
9.20603	0.60745853	04	1	cdf	unsmoothed
9.454774	0.585307	04	1	cdf	unsmoothed
9.703518	0.5508373	04	1	cdf	unsmoothed
9.952261	0.5055994	04	1	cdf	unsmoothed
10.201005	0.4536722	04	1	cdf	unsmoothed
10.449749	0.40083313	04	1	cdf	unsmoothed
10.698492	0.35296097	04	1	cdf	unsmoothed
10.947236	0.31443375	04	1	cdf	unsmoothed
11.19598	0.2871891	04	1	cdf	unsmoothed
11.444724	0.27068296	04	1	cdf	unsmoothed
11.693467	0.2625767	04	1	cdf	unsmoothed
11.942211	0.25972992	04	1	cdf	unsmoothed
12.190955	0.2591019	04	1	cdf	unsmoothed
12.439698	0.25831252	04	1	cdf	unsmoothed
12.688442	0.25583518	04	1	cdf	unsmoothed
12.937186	0.2509118	04	1	cdf	unsmoothed
13.185929	0.24333973	04	1	cdf	unsmoothed
13.434673	0.233252	04	1	cdf	unsmoothed
13.683417	0.22095604	04	1	cdf	unsmoothed
13.93216	0.20684478	04	1	cdf	unsmoothed
14.180904	0.19135971	04	1	cdf	unsmoothed
14.429648	0.17497735	04	1	cdf	unsmoothed
14.678392	0.15819716	04	1	cdf	unsmoothed
14.927135	0.14152001	04	1	cdf	unsmoothed
15.1758795	0.1254169	04	1	cdf	unsmoothed
15.4246235	0.11029641	04	1	cdf	unsmoothed
15.673367	0.09647573	04	1	cdf	unsmoothed
15.922111	0.0841634	04	1	cdf	unsmoothed
16.170855	0.07345525	04	1	cdf	unsmoothed
16.419598	0.06434236	04	1	cdf	unsmoothed
16.668343	0.056728527	04	1	cdf	unsmoothed
16.917086	0.050453976	04	1	cdf	unsmoothed
17.165829	0.045319423	04	1	cdf	unsmoothed
17.414574	0.041110076	04	1	cdf	unsmoothed
17.663317	0.03761542	04	1	cdf	unsmoothed
17.91206	0.03464412	04	1	cdf	unsmoothed
18.160805	0.032034285	04	1	cdf	unsmoothed
18.409548	0.029658958	04	1	cdf	unsmoothed
18.65829	0.027427226	04	1	cdf	unsmoothed
18.907036	0.025282511	04	1	cdf	unsmoothed
19.155779	0.023198484	04	1	cdf	unsmoothed
19.404522	0.021173447	04	1	cdf	unsmoothed
19.653267	0.019224318	04	1	cdf	unsmoothed
19.90201	0.017380444	04	1	cdf	unsmoothed
20.150753	0.015677927	04	1	cdf	unsmoothed
20.399498	0.014154857	04	1	cdf	unsmoothed
20.648241	0.012847458	04	1	cdf	unsmoothed
20.896984	0.011787429	04	1	cdf	unsmoothed
21.14573	0.011000453	04	1	cdf	unsmoothed
21.394472	0.0105058905	04	1	cdf	unsmoothed
21.643215	0.010317406	04	1	cdf	unsmoothed
21.89196	0.010444595	04	1	cdf	unsmoothed
22.140703	0.010895375	04	1	cdf	unsmoothed
22.389448	0.011678868	04	1	cdf	unsmoothed
22.638191	0.012808617	04	1	cdf	unsmoothed
22.886934	0.014305739	04	1	cdf	unsmoothed
23.13568	0.016202005	04	1	cdf	unsmoothed
23.384422	0.018542593	04	1	cdf	unsmoothed
23.633165	0.021389417	04	1	cdf	unsmoothed
23.88191	0.024825588	04	1	cdf	unsmoothed
24.130653	0.028962197	04	1	cdf	unsmoothed
24.379396	0.033948384	04	1	cdf	unsmoothed
24.628141	0.03998196	04	1	cdf	unsmoothed
24.876884	0.0473139	04	1	cdf	unsmoothed
25.125628	0.056235045	04	1	cdf	unsmoothed
25.374372	0.06703524	04	1	cdf	unsmoothed
25.623116	0.07997506	04	1	cdf	unsmoothed
25.871859	0.095462784	04	1	cdf	unsmoothed
26.120604	0.114718355	04	1	cdf	unsmoothed
26.369347	0.14506508	04	1	cdf	unsmoothed
26.61809	0.8425208	04	1	cdf	unsmoothed
26.866835	14.3096895	04	1	cdf	unsmoothed
27.115578	56.214203	04	1	cdf	unsmoothed
