subject	mean_cdf	mean_invcdf	median_shift	sem_shift	n_voxels	r_pearson	p_pearson	r_spearman	p_spearman	variant
20	17.755046844482422	17.826200485229492	-0.19273918867111206	1.0832626981394369	106	0.4551848	9.471289317606188e-07	0.4475854598584276	1.505644604505928e-06	unsmoothed
21	14.650288581848145	21.146060943603516	8.716578483581543	1.5131773076795616	143	0.11429474	0.174073939055911	0.2667274040513477	0.0012812555157720909	unsmoothed
22	30.989168167114258	27.76029396057129	-6.683658599853516	4.075778870752077	17	0.19529846	0.4525440787543325	0.24019607843137256	0.3530886590520008	unsmoothed
23	26.203704833984375	17.390148162841797	-11.152242660522461	1.631523006590805	138	-0.031111076	0.717175835228952	-0.024646737703458304	0.7741554863168705	unsmoothed
24	17.11612892150879	20.349275588989258	0.7611684799194336	1.6310797520572338	138	-0.07835047	0.36100969789014287	-0.0887488041937126	0.30061126207691924	unsmoothed
pil01	20.953290939331055	17.428937911987305	-4.893471717834473	0.4732906974401173	404	0.18799314	0.00014420107933511223	0.18427397743910037	0.0001958369392054774	unsmoothed
pil02	24.188426971435547	22.85260581970215	0.25365352630615234	1.1258879907992358	234	-0.024269097	0.7118950669452347	0.034669588774236766	0.597734381564089	unsmoothed
03	19.698436737060547	19.278696060180664	0.06615066528320312	1.3658283396663158	175	-0.008439928	0.9117340284663871	-0.010243004047429002	0.8929798010427146	smoothed
04	19.74587059020996	9.71152114868164	-10.31933307647705	0.5591978226871831	302	0.4403557	9.347693520509418e-16	0.5765946179445561	3.7219258995622416e-28	smoothed
05	26.87968635559082	21.216251373291016	-8.702129364013672	0.7660018411966093	333	-0.12135014	0.026808519042047004	-0.29875839334031384	2.7164544518409696e-08	smoothed
06	39.708316802978516	15.390872955322266	-18.891603469848633	0.9580110923261823	355	0.12978527	0.014402054535770445	0.09155492850456384	0.08496765232075058	smoothed
07	20.840667724609375	30.20147705078125	12.20427131652832	1.0936561604376285	147	-0.19985253	0.015227039127431766	-0.311551277304702	0.00012245329568181997	smoothed
08	17.97654151916504	14.531352043151855	-5.809156894683838	1.391190990611503	153	0.2840436	0.00037342166846358036	0.33279053248093493	2.633170981325831e-05	smoothed
09	15.032266616821289	18.259422302246094	4.689919471740723	0.5872611529481048	254	0.37829995	4.5896393487544075e-10	0.46871465526237255	2.8148037068244566e-15	smoothed
10	24.596893310546875	19.835485458374023	-4.251170635223389	1.3947818040730748	202	0.07169135	0.3106268782868304	0.06580689684290832	0.35211404145005654	smoothed
11	20.801652908325195	13.700698852539062	-8.228239059448242	0.5982215108584208	328	0.28478545	1.5456170773870958e-07	0.34503445212919	1.333484685656766e-10	smoothed
12	13.977592468261719	22.195356369018555	3.4172067642211914	0.8116103161383906	537	0.0068381242	0.8743825485647434	0.3978890877175254	8.147307545381119e-22	smoothed
13	16.070327758789062	18.348644256591797	1.8200035095214844	0.4916632096707381	434	0.5026589	3.6220098484682195e-29	0.5434280326870758	1.0315830683392534e-34	smoothed
14	24.3596248626709	19.86745262145996	-2.960113525390625	0.6371424855653978	372	0.2580482	4.5111423893106485e-07	0.21484808524634644	2.9305924668328042e-05	smoothed
15	21.33878517150879	19.73859405517578	-3.5363988876342773	0.897319006354947	248	0.25501823	4.842028522500966e-05	0.2981239310120198	1.7504543833944635e-06	smoothed
16	23.152740478515625	28.491743087768555	10.926559448242188	1.61697350932506	55	0.35909528	0.007093964175409498	0.3974747474747476	0.0026566003099140947	smoothed
17	17.63219451904297	22.052661895751953	2.3145737648010254	1.111759901972128	150	0.27494612	0.0006614290718689439	0.28398239921774304	0.0004286995975348191	smoothed
18	19.708097457885742	26.458494186401367	8.471731185913086	0.7601787233587908	440	0.43127987	2.335884949856319e-21	0.3776127224548962	2.32435388472565e-16	smoothed
19	21.387983322143555	25.30784797668457	3.6347012519836426	1.339802362452484	234	-0.14751293	0.024021176758951466	-0.026324730050348553	0.6887117419503699	smoothed
20	18.504426956176758	24.62940216064453	8.003314971923828	0.7060380900911033	150	0.75029355	2.180883433056441e-28	0.6926405618027468	9.378168046757614e-23	smoothed
21	10.469156265258789	24.810178756713867	23.580337524414062	1.3188830784388952	196	-0.0732269	0.30773355347348325	0.246439130122959	0.0004978003937050341	smoothed
22	11.15477180480957	24.70701789855957	17.041494369506836	2.58180732778757	27	-0.12598199	0.5312175873407736	0.04029304029304029	0.8418384605614527	smoothed
23	20.24441146850586	11.152732849121094	-7.237775802612305	1.650801093249615	107	0.22251542	0.021242662931792805	0.20138521522757108	0.03752199762039294	smoothed
24	13.719271659851074	18.016998291015625	0.12189102172851562	0.9763288289658311	229	0.1763381	0.007475813143837606	0.28179486020077726	1.4975590610982743e-05	smoothed
pil01	19.00609588623047	18.224987030029297	0.7911462783813477	0.4445200783040646	486	-0.020892799	0.6459079099962652	0.054141025450042714	0.23351173030529532	smoothed
pil02	23.9056339263916	20.328075408935547	-5.106594085693359	1.0227035739296892	272	-0.098067336	0.1065682896509092	0.1254058715034151	0.03874470403598956	smoothed
