subject	model	mask	nvoxels	prior	r
09	PRF	vmPFC+OFC	100	matched	0.2003748015531554
09	PRF	vmPFC+OFC	250	uniform	0.1654268437547432
09	PRF	vmPFC+OFC	250	matched	0.17077752153593395
09	PRF	vmPFC+OFC	500	uniform	0.23269491911922374
09	PRF	vmPFC+OFC	500	matched	0.23927871977487625
09	Linear	V1	0	uniform	0.7162051912883154
09	Linear	V1	0	matched	0.716101705679772
09	Linear	V1	50	uniform	0.7230269091220618
09	Linear	V1	50	matched	0.723191582725691
09	Linear	V1	100	uniform	0.7176052309156191
09	Linear	V1	100	matched	0.718093733496729
09	Linear	V1	250	uniform	0.7108167603608953
09	Linear	V1	250	matched	0.7113545472109964
09	Linear	V1	500	uniform	0.6782387126922392
09	Linear	V1	500	matched	0.6789699168794385
09	Linear	NPCr	0	uniform	0.44134426430163903
09	Linear	NPCr	0	matched	0.44297545903624647
09	Linear	NPCr	50	uniform	0.4019144184954873
09	Linear	NPCr	50	matched	0.4025760542627116
09	Linear	NPCr	100	uniform	0.37510163302470245
09	Linear	NPCr	100	matched	0.3764828852610014
09	Linear	NPCr	250	uniform	0.34998091182754454
09	Linear	NPCr	250	matched	0.35151080046493205
09	Linear	NPCr	500	uniform	0.335143283829244
09	Linear	NPCr	500	matched	0.33692652666568523
09	Linear	vmPFC+OFC	0	uniform	0.17589473863342298
09	Linear	vmPFC+OFC	0	matched	0.17575891724643578
09	Linear	vmPFC+OFC	50	uniform	0.19895868493058871
09	Linear	vmPFC+OFC	50	matched	0.1992807611880079
09	Linear	vmPFC+OFC	100	uniform	0.19648983234868422
09	Linear	vmPFC+OFC	100	matched	0.19749132463868335
09	Linear	vmPFC+OFC	250	uniform	0.16177589752835392
09	Linear	vmPFC+OFC	250	matched	0.16246069257227536
09	Linear	vmPFC+OFC	500	uniform	0.15636640829340392
09	Linear	vmPFC+OFC	500	matched	0.1571474685791288
10	PRF	V1	0	uniform	0.533506376020465
10	PRF	V1	0	matched	0.5317812420699568
10	PRF	V1	50	uniform	0.5502156738731504
10	PRF	V1	50	matched	0.557901834094218
10	PRF	V1	100	uniform	0.5097038358637039
10	PRF	V1	100	matched	0.5169387122688167
10	PRF	V1	250	uniform	0.44426815540275977
10	PRF	V1	250	matched	0.4473089020876237
10	PRF	V1	500	uniform	0.3940791953241875
10	PRF	V1	500	matched	0.3939533856394305
10	PRF	NPCr	0	uniform	0.3887855859033811
10	PRF	NPCr	0	matched	0.3911579745951635
10	PRF	NPCr	50	uniform	0.38357260289197204
10	PRF	NPCr	50	matched	0.38745530224637503
10	PRF	NPCr	100	uniform	0.4077370028693077
10	PRF	NPCr	100	matched	0.4108240073919296
10	PRF	NPCr	250	uniform	0.3149159695378143
10	PRF	NPCr	250	matched	0.31653105093359146
10	PRF	NPCr	500	uniform	0.2739873616473158
10	PRF	NPCr	500	matched	0.2748733747750362
10	PRF	vmPFC+OFC	0	uniform	0.040491305793272085
10	PRF	vmPFC+OFC	0	matched	0.04710195226803137
10	PRF	vmPFC+OFC	50	uniform	0.12037445551337587
10	PRF	vmPFC+OFC	50	matched	0.12199583293049918
10	PRF	vmPFC+OFC	100	uniform	0.09242835779240274
10	PRF	vmPFC+OFC	100	matched	0.09779908444636894
10	PRF	vmPFC+OFC	250	uniform	0.12420378627735809
10	PRF	vmPFC+OFC	250	matched	0.12918160483580998
10	PRF	vmPFC+OFC	500	uniform	0.08096338944475141
10	PRF	vmPFC+OFC	500	matched	0.08884093565978674
10	Linear	V1	0	uniform	0.5032552754919792
10	Linear	V1	0	matched	0.505230171946124
10	Linear	V1	50	uniform	0.546616944341404
10	Linear	V1	50	matched	0.5490054549879584
10	Linear	V1	100	uniform	0.4856962464062249
10	Linear	V1	100	matched	0.4881877434575457
10	Linear	V1	250	uniform	0.38786387499536956
10	Linear	V1	250	matched	0.3897585190796943
10	Linear	V1	500	uniform	0.36089255187829916
10	Linear	V1	500	matched	0.3625283577531717
10	Linear	NPCr	0	uniform	0.3811730609851928
10	Linear	NPCr	0	matched	0.3811781827549242
10	Linear	NPCr	50	uniform	0.3833396433291194
10	Linear	NPCr	50	matched	0.3841776274442762
10	Linear	NPCr	100	uniform	0.38284601324023804
10	Linear	NPCr	100	matched	0.3833386612622314
10	Linear	NPCr	250	uniform	0.3278308659832737
10	Linear	NPCr	250	matched	0.32756597496281453
10	Linear	NPCr	500	uniform	0.31078370885859563
10	Linear	NPCr	500	matched	0.31062613228912916
10	Linear	vmPFC+OFC	0	uniform	0.04221227487948756
10	Linear	vmPFC+OFC	0	matched	0.042389844553029646
