subject	n_A	n_B	r_pearson_A	r_spearman_A	median_shift_A	mean_cdf_A	mean_invcdf_A	r_pearson_B	r_spearman_B	median_shift_B	mean_cdf_B	mean_invcdf_B	variant
04	201	302	0.5256415	0.5867311955076105	-10.024076461791992	17.492948532104492	7.877018928527832	0.4403557	0.5765946179445561	-10.31933307647705	19.74587059020996	9.71152114868164	smoothed
05	202	333	-0.022558605	-0.38897329185899987	-11.09660816192627	30.09447479248047	22.213335037231445	-0.12135014	-0.29875839334031384	-8.702129364013672	26.87968635559082	21.216251373291016	smoothed
06	329	355	0.13780662	0.14026984950700574	-19.822490692138672	40.736724853515625	14.908832550048828	0.12978527	0.09155492850456384	-18.891603469848633	39.708316802978516	15.390872955322266	smoothed
07	45	147	-0.44005173	-0.5544137022397891	16.777896881103516	19.321741104125977	33.86410140991211	-0.19985253	-0.311551277304702	12.20427131652832	20.840667724609375	30.20147705078125	smoothed
08	45	153	0.58659714	0.4412384716732542	-7.114381790161133	15.58763313293457	7.85060977935791	0.2840436	0.33279053248093493	-5.809156894683838	17.97654151916504	14.531352043151855	smoothed
09	182	254	0.27257574	0.39170185850740147	3.586270332336426	13.838451385498047	15.972540855407715	0.37829995	0.46871465526237255	4.689919471740723	15.032266616821289	18.259422302246094	smoothed
10	108	202	0.1697842	0.010384215991692626	-12.23277473449707	29.251453399658203	14.20549488067627	0.07169135	0.06580689684290832	-4.251170635223389	24.596893310546875	19.835485458374023	smoothed
13	347	434	0.45106155	0.5249945574097061	1.4985265731811523	15.022339820861816	18.026912689208984	0.5026589	0.5434280326870758	1.8200035095214844	16.070327758789062	18.348644256591797	smoothed
14	278	372	0.18156305	0.09219474309919713	-4.590797424316406	26.323230743408203	20.157180786132812	0.2580482	0.21484808524634644	-2.960113525390625	24.3596248626709	19.86745262145996	smoothed
pil01	391	486	-0.06997172	0.025399992773028946	0.7128028869628906	19.184036254882812	17.70292091369629	-0.020892799	0.054141025450042714	0.7911462783813477	19.00609588623047	18.224987030029297	smoothed
pil02	263	272	-0.041335784	0.18195377224166837	-8.895334243774414	24.27516746520996	18.34980583190918	-0.098067336	0.1254058715034151	-5.106594085693359	23.9056339263916	20.328075408935547	smoothed
