subject	mapping	beh_precision	neu_precision	measure
14	pooled (both mappings)	-1.0501743887418002	-5.052011478155352	−mean σ_E (NPCr)
15	pooled (both mappings)	-1.9804479636957697	-5.2405101657397335	−mean σ_E (NPCr)
16	pooled (both mappings)	-2.9353213007494334	-4.859287710849735	−mean σ_E (NPCr)
17	pooled (both mappings)	-3.3517979288659894	-3.8056476534031582	−mean σ_E (NPCr)
18	pooled (both mappings)	-1.6930797859862887	-4.377427585270453	−mean σ_E (NPCr)
19	pooled (both mappings)	-1.5504198772162168	-5.210421980875539	−mean σ_E (NPCr)
20	pooled (both mappings)	-1.1760348452861802	-4.883559208812495	−mean σ_E (NPCr)
21	pooled (both mappings)	-4.462555562021315	-4.75724555297583	−mean σ_E (NPCr)
22	pooled (both mappings)	-3.51764771246925	-4.900132278638971	−mean σ_E (NPCr)
23	pooled (both mappings)	-3.7785391770316386	-4.832059417610082	−mean σ_E (NPCr)
24	pooled (both mappings)	-1.277384789722564	-5.038783274357241	−mean σ_E (NPCr)
03	cdf	-2.704812924978159	-5.4633884326478706	−mean |decoding error| (NPCr)
03	inverse_cdf	-3.3945696900348272	-5.954066238268561	−mean |decoding error| (NPCr)
04	cdf	-1.230173379137391	-6.692089344045391	−mean |decoding error| (NPCr)
04	inverse_cdf	-2.422996882532993	-3.6849065064347313	−mean |decoding error| (NPCr)
05	cdf	-0.8493328798777774	-7.577770179168039	−mean |decoding error| (NPCr)
05	inverse_cdf	-2.1066992709406382	-8.420563554815624	−mean |decoding error| (NPCr)
06	cdf	-1.228688663270917	-5.106330045409825	−mean |decoding error| (NPCr)
06	inverse_cdf	-1.9062856366768777	-5.682944990220277	−mean |decoding error| (NPCr)
07	cdf	-1.0203131243344008	-5.7754872753101845	−mean |decoding error| (NPCr)
07	inverse_cdf	-3.275806632099808	-7.839356757392054	−mean |decoding error| (NPCr)
08	cdf	-2.4197495905877577	-5.814206196349601	−mean |decoding error| (NPCr)
08	inverse_cdf	-3.8189080213408118	-7.225171404662339	−mean |decoding error| (NPCr)
09	cdf	-1.6859383049443344	-6.133633167287577	−mean |decoding error| (NPCr)
09	inverse_cdf	-2.878971631265456	-7.451728202488112	−mean |decoding error| (NPCr)
10	cdf	-1.8232434680284115	-5.491649557030719	−mean |decoding error| (NPCr)
10	inverse_cdf	-3.151716137846687	-6.960452144633169	−mean |decoding error| (NPCr)
11	cdf	-0.9957783817875138	-5.1822669491145925	−mean |decoding error| (NPCr)
11	inverse_cdf	-2.3169739978026307	-8.053334553770398	−mean |decoding error| (NPCr)
12	cdf	-0.8645373290209057	-7.119820175108702	−mean |decoding error| (NPCr)
12	inverse_cdf	-1.8541047678273352	-8.097708823400996	−mean |decoding error| (NPCr)
13	cdf	-0.6912043692046025	-6.576416072410086	−mean |decoding error| (NPCr)
13	inverse_cdf	-2.13972173212058	-7.926896250786989	−mean |decoding error| (NPCr)
14	cdf	-0.7965163562093526	-6.843500672900158	−mean |decoding error| (NPCr)
14	inverse_cdf	-1.3038324212742478	-7.519540720037793	−mean |decoding error| (NPCr)
15	cdf	-1.0901908551644528	-5.85894768565634	−mean |decoding error| (NPCr)
15	inverse_cdf	-2.8707050722270866	-6.4379841095882915	−mean |decoding error| (NPCr)
16	cdf	-2.6549764284822546	-6.681030599594116	−mean |decoding error| (NPCr)
16	inverse_cdf	-3.215666173016612	-8.12396624376463	−mean |decoding error| (NPCr)
17	cdf	-2.0350359555850313	-7.925135845951411	−mean |decoding error| (NPCr)
17	inverse_cdf	-4.6685599021469475	-8.727916245875152	−mean |decoding error| (NPCr)
18	cdf	-1.0332891982229269	-7.63567285521134	−mean |decoding error| (NPCr)
18	inverse_cdf	-2.3528703737496506	-8.365535272567168	−mean |decoding error| (NPCr)
19	cdf	-1.2724968261814402	-6.386413822360661	−mean |decoding error| (NPCr)
19	inverse_cdf	-1.8283429282509935	-6.68873429577247	−mean |decoding error| (NPCr)
20	cdf	-0.9998269714139149	-6.8900383545834085	−mean |decoding error| (NPCr)
20	inverse_cdf	-1.3522427191584454	-8.01531198422805	−mean |decoding error| (NPCr)
21	cdf	-3.3120223178796246	-7.629039213450059	−mean |decoding error| (NPCr)
21	inverse_cdf	-5.613088806163005	-7.6519776925729674	−mean |decoding error| (NPCr)
22	cdf	-3.186450979698611	-6.923026186466217	−mean |decoding error| (NPCr)
22	inverse_cdf	-3.8488444452398896	-7.788754294468009	−mean |decoding error| (NPCr)
23	cdf	-2.722880188951058	-6.428120069835497	−mean |decoding error| (NPCr)
23	inverse_cdf	-4.834198165112219	-8.286706159488014	−mean |decoding error| (NPCr)
24	cdf	-1.2745486634094858	-6.899377181115358	−mean |decoding error| (NPCr)
24	inverse_cdf	-1.2802209160356424	-6.002677479878716	−mean |decoding error| (NPCr)
03	pooled (both mappings)	-3.0496913075064933	-5.7087273354582155	−mean |decoding error| (NPCr)
04	pooled (both mappings)	-1.826585130835192	-5.1884979252400605	−mean |decoding error| (NPCr)
05	pooled (both mappings)	-1.4780160754092078	-7.999166866991832	−mean |decoding error| (NPCr)
06	pooled (both mappings)	-1.5674871499738974	-5.394637517815051	−mean |decoding error| (NPCr)
07	pooled (both mappings)	-2.1480598782171043	-6.807422016351119	−mean |decoding error| (NPCr)
08	pooled (both mappings)	-3.119328805964285	-6.519688800505969	−mean |decoding error| (NPCr)
09	pooled (both mappings)	-2.2824549681048953	-6.792680684887845	−mean |decoding error| (NPCr)
10	pooled (both mappings)	-2.4874798029375493	-6.226050850831944	−mean |decoding error| (NPCr)
11	pooled (both mappings)	-1.6563761897950722	-6.617800751442495	−mean |decoding error| (NPCr)
12	pooled (both mappings)	-1.3593210484241205	-7.608764499254849	−mean |decoding error| (NPCr)
13	pooled (both mappings)	-1.4154630506625911	-7.251656161598538	−mean |decoding error| (NPCr)
14	pooled (both mappings)	-1.0501743887418002	-7.181520696468976	−mean |decoding error| (NPCr)
15	pooled (both mappings)	-1.9804479636957697	-6.148465897622316	−mean |decoding error| (NPCr)
16	pooled (both mappings)	-2.9353213007494334	-7.402498421679373	−mean |decoding error| (NPCr)
17	pooled (both mappings)	-3.3517979288659894	-8.326526045913281	−mean |decoding error| (NPCr)
18	pooled (both mappings)	-1.6930797859862887	-8.000604063889254	−mean |decoding error| (NPCr)
19	pooled (both mappings)	-1.5504198772162168	-6.537574059066565	−mean |decoding error| (NPCr)
20	pooled (both mappings)	-1.1760348452861802	-7.45267516940573	−mean |decoding error| (NPCr)
21	pooled (both mappings)	-4.462555562021315	-7.640508453011513	−mean |decoding error| (NPCr)
22	pooled (both mappings)	-3.51764771246925	-7.355890240467113	−mean |decoding error| (NPCr)
23	pooled (both mappings)	-3.7785391770316386	-7.357413114661756	−mean |decoding error| (NPCr)
24	pooled (both mappings)	-1.277384789722564	-6.451027330497037	−mean |decoding error| (NPCr)
03	cdf	-2.704812924978159	0.2704548976750711	Decoded-true r (NPCr)
03	inverse_cdf	-3.3945696900348272	0.18228483589007644	Decoded-true r (NPCr)
04	cdf	-1.230173379137391	0.31912963341996825	Decoded-true r (NPCr)
04	inverse_cdf	-2.422996882532993	0.5237401891497995	Decoded-true r (NPCr)
05	cdf	-0.8493328798777774	0.07657466737711409	Decoded-true r (NPCr)
05	inverse_cdf	-2.1066992709406382	0.039089026192992746	Decoded-true r (NPCr)
06	cdf	-1.228688663270917	0.4316922057762838	Decoded-true r (NPCr)
06	inverse_cdf	-1.9062856366768777	0.5015091082090035	Decoded-true r (NPCr)
07	cdf	-1.0203131243344008	0.1924118328016624	Decoded-true r (NPCr)
07	inverse_cdf	-3.275806632099808	0.2670340198150484	Decoded-true r (NPCr)
08	cdf	-2.4197495905877577	0.2688890481590973	Decoded-true r (NPCr)
08	inverse_cdf	-3.8189080213408118	0.28979397090297854	Decoded-true r (NPCr)
09	cdf	-1.6859383049443344	0.3816379572548544	Decoded-true r (NPCr)
09	inverse_cdf	-2.878971631265456	0.38981279178513156	Decoded-true r (NPCr)
10	cdf	-1.8232434680284115	0.391878601607315	Decoded-true r (NPCr)
10	inverse_cdf	-3.151716137846687	0.39555309148148365	Decoded-true r (NPCr)
11	cdf	-0.9957783817875138	0.2631501394287802	Decoded-true r (NPCr)
11	inverse_cdf	-2.3169739978026307	0.20690644200153477	Decoded-true r (NPCr)
12	cdf	-0.8645373290209057	0.3327452644728397	Decoded-true r (NPCr)
12	inverse_cdf	-1.8541047678273352	0.37558607151237833	Decoded-true r (NPCr)
13	cdf	-0.6912043692046025	0.15581781725790514	Decoded-true r (NPCr)
13	inverse_cdf	-2.13972173212058	0.22254404628731714	Decoded-true r (NPCr)
14	cdf	-0.7965163562093526	0.27234904133383875	Decoded-true r (NPCr)
14	inverse_cdf	-1.3038324212742478	0.2639419890302088	Decoded-true r (NPCr)
15	cdf	-1.0901908551644528	0.19987939989637893	Decoded-true r (NPCr)
15	inverse_cdf	-2.8707050722270866	0.22031461002309366	Decoded-true r (NPCr)
16	cdf	-2.6549764284822546	0.14764358558032264	Decoded-true r (NPCr)
16	inverse_cdf	-3.215666173016612	0.10463977226827244	Decoded-true r (NPCr)
17	cdf	-2.0350359555850313	0.1867019680180142	Decoded-true r (NPCr)
17	inverse_cdf	-4.6685599021469475	0.06189315423823652	Decoded-true r (NPCr)
18	cdf	-1.0332891982229269	0.3801790942229853	Decoded-true r (NPCr)
18	inverse_cdf	-2.3528703737496506	0.27142325649825116	Decoded-true r (NPCr)
19	cdf	-1.2724968261814402	0.12525553885053953	Decoded-true r (NPCr)
19	inverse_cdf	-1.8283429282509935	0.20065735187962977	Decoded-true r (NPCr)
20	cdf	-0.9998269714139149	0.3568789512916277	Decoded-true r (NPCr)
20	inverse_cdf	-1.3522427191584454	0.21470656279943315	Decoded-true r (NPCr)
21	cdf	-3.3120223178796246	0.2615636725943252	Decoded-true r (NPCr)
21	inverse_cdf	-5.613088806163005	0.13691626117589167	Decoded-true r (NPCr)
22	cdf	-3.186450979698611	-0.051724300541643474	Decoded-true r (NPCr)
22	inverse_cdf	-3.8488444452398896	0.0732106223803422	Decoded-true r (NPCr)
23	cdf	-2.722880188951058	0.1405898394251947	Decoded-true r (NPCr)
23	inverse_cdf	-4.834198165112219	0.21409230794626372	Decoded-true r (NPCr)
24	cdf	-1.2745486634094858	0.1792738947959845	Decoded-true r (NPCr)
24	inverse_cdf	-1.2802209160356424	0.24195890919546456	Decoded-true r (NPCr)
03	pooled (both mappings)	-3.0496913075064933	0.22636986678257376	Decoded-true r (NPCr)
04	pooled (both mappings)	-1.826585130835192	0.42143491128488386	Decoded-true r (NPCr)
05	pooled (both mappings)	-1.4780160754092078	0.05783184678505342	Decoded-true r (NPCr)
06	pooled (both mappings)	-1.5674871499738974	0.46660065699264364	Decoded-true r (NPCr)
07	pooled (both mappings)	-2.1480598782171043	0.2297229263083554	Decoded-true r (NPCr)
08	pooled (both mappings)	-3.119328805964285	0.2793415095310379	Decoded-true r (NPCr)
09	pooled (both mappings)	-2.2824549681048953	0.385725374519993	Decoded-true r (NPCr)
10	pooled (both mappings)	-2.4874798029375493	0.39371584654439934	Decoded-true r (NPCr)
11	pooled (both mappings)	-1.6563761897950722	0.23502829071515746	Decoded-true r (NPCr)
12	pooled (both mappings)	-1.3593210484241205	0.354165667992609	Decoded-true r (NPCr)
13	pooled (both mappings)	-1.4154630506625911	0.18918093177261114	Decoded-true r (NPCr)
14	pooled (both mappings)	-1.0501743887418002	0.2681455151820238	Decoded-true r (NPCr)
15	pooled (both mappings)	-1.9804479636957697	0.2100970049597363	Decoded-true r (NPCr)
16	pooled (both mappings)	-2.9353213007494334	0.12614167892429753	Decoded-true r (NPCr)
17	pooled (both mappings)	-3.3517979288659894	0.12429756112812536	Decoded-true r (NPCr)
18	pooled (both mappings)	-1.6930797859862887	0.32580117536061826	Decoded-true r (NPCr)
19	pooled (both mappings)	-1.5504198772162168	0.16295644536508463	Decoded-true r (NPCr)
20	pooled (both mappings)	-1.1760348452861802	0.2857927570455304	Decoded-true r (NPCr)
21	pooled (both mappings)	-4.462555562021315	0.19923996688510845	Decoded-true r (NPCr)
22	pooled (both mappings)	-3.51764771246925	0.010743160919349366	Decoded-true r (NPCr)
23	pooled (both mappings)	-3.7785391770316386	0.1773410736857292	Decoded-true r (NPCr)
24	pooled (both mappings)	-1.277384789722564	0.2106164019957245	Decoded-true r (NPCr)
03	cdf	-2.704812924978159	0.23357979051139866	Signal-voxel frac. (NPCr, aprf.cv>null)
03	inverse_cdf	-3.3945696900348272	0.23357979051139866	Signal-voxel frac. (NPCr, aprf.cv>null)
04	cdf	-1.230173379137391	0.34475597092419524	Signal-voxel frac. (NPCr, aprf.cv>null)
04	inverse_cdf	-2.422996882532993	0.34475597092419524	Signal-voxel frac. (NPCr, aprf.cv>null)
05	cdf	-0.8493328798777774	0.3216971601751038	Signal-voxel frac. (NPCr, aprf.cv>null)
05	inverse_cdf	-2.1066992709406382	0.3216971601751038	Signal-voxel frac. (NPCr, aprf.cv>null)
06	cdf	-1.228688663270917	0.3221552373775433	Signal-voxel frac. (NPCr, aprf.cv>null)
06	inverse_cdf	-1.9062856366768777	0.3221552373775433	Signal-voxel frac. (NPCr, aprf.cv>null)
07	cdf	-1.0203131243344008	0.23254134469560195	Signal-voxel frac. (NPCr, aprf.cv>null)
07	inverse_cdf	-3.275806632099808	0.23254134469560195	Signal-voxel frac. (NPCr, aprf.cv>null)
08	cdf	-2.4197495905877577	0.2216142270861833	Signal-voxel frac. (NPCr, aprf.cv>null)
08	inverse_cdf	-3.8189080213408118	0.2216142270861833	Signal-voxel frac. (NPCr, aprf.cv>null)
09	cdf	-1.6859383049443344	0.35240846279959404	Signal-voxel frac. (NPCr, aprf.cv>null)
09	inverse_cdf	-2.878971631265456	0.35240846279959404	Signal-voxel frac. (NPCr, aprf.cv>null)
10	cdf	-1.8232434680284115	0.2746154345427403	Signal-voxel frac. (NPCr, aprf.cv>null)
10	inverse_cdf	-3.151716137846687	0.2746154345427403	Signal-voxel frac. (NPCr, aprf.cv>null)
11	cdf	-0.9957783817875138	0.33671824629271435	Signal-voxel frac. (NPCr, aprf.cv>null)
11	inverse_cdf	-2.3169739978026307	0.33671824629271435	Signal-voxel frac. (NPCr, aprf.cv>null)
12	cdf	-0.8645373290209057	0.4075859298789235	Signal-voxel frac. (NPCr, aprf.cv>null)
12	inverse_cdf	-1.8541047678273352	0.4075859298789235	Signal-voxel frac. (NPCr, aprf.cv>null)
13	cdf	-0.6912043692046025	0.4606487431244538	Signal-voxel frac. (NPCr, aprf.cv>null)
13	inverse_cdf	-2.13972173212058	0.4606487431244538	Signal-voxel frac. (NPCr, aprf.cv>null)
14	cdf	-0.7965163562093526	0.3602830374107318	Signal-voxel frac. (NPCr, aprf.cv>null)
14	inverse_cdf	-1.3038324212742478	0.3602830374107318	Signal-voxel frac. (NPCr, aprf.cv>null)
15	cdf	-1.0901908551644528	0.3215043394406943	Signal-voxel frac. (NPCr, aprf.cv>null)
15	inverse_cdf	-2.8707050722270866	0.3215043394406943	Signal-voxel frac. (NPCr, aprf.cv>null)
16	cdf	-2.6549764284822546	0.2042481950402846	Signal-voxel frac. (NPCr, aprf.cv>null)
16	inverse_cdf	-3.215666173016612	0.2042481950402846	Signal-voxel frac. (NPCr, aprf.cv>null)
17	cdf	-2.0350359555850313	0.24109535324488596	Signal-voxel frac. (NPCr, aprf.cv>null)
17	inverse_cdf	-4.6685599021469475	0.24109535324488596	Signal-voxel frac. (NPCr, aprf.cv>null)
19	cdf	-1.2724968261814402	0.2465980560320183	Signal-voxel frac. (NPCr, aprf.cv>null)
19	inverse_cdf	-1.8283429282509935	0.2465980560320183	Signal-voxel frac. (NPCr, aprf.cv>null)
20	cdf	-0.9998269714139149	0.28000787091696183	Signal-voxel frac. (NPCr, aprf.cv>null)
20	inverse_cdf	-1.3522427191584454	0.28000787091696183	Signal-voxel frac. (NPCr, aprf.cv>null)
21	cdf	-3.3120223178796246	0.2299699051729033	Signal-voxel frac. (NPCr, aprf.cv>null)
21	inverse_cdf	-5.613088806163005	0.2299699051729033	Signal-voxel frac. (NPCr, aprf.cv>null)
03	pooled (both mappings)	-3.0496913075064933	0.23357979051139866	Signal-voxel frac. (NPCr, aprf.cv>null)
04	pooled (both mappings)	-1.826585130835192	0.34475597092419524	Signal-voxel frac. (NPCr, aprf.cv>null)
05	pooled (both mappings)	-1.4780160754092078	0.3216971601751038	Signal-voxel frac. (NPCr, aprf.cv>null)
06	pooled (both mappings)	-1.5674871499738974	0.3221552373775433	Signal-voxel frac. (NPCr, aprf.cv>null)
07	pooled (both mappings)	-2.1480598782171043	0.23254134469560195	Signal-voxel frac. (NPCr, aprf.cv>null)
08	pooled (both mappings)	-3.119328805964285	0.2216142270861833	Signal-voxel frac. (NPCr, aprf.cv>null)
09	pooled (both mappings)	-2.2824549681048953	0.35240846279959404	Signal-voxel frac. (NPCr, aprf.cv>null)
10	pooled (both mappings)	-2.4874798029375493	0.2746154345427403	Signal-voxel frac. (NPCr, aprf.cv>null)
11	pooled (both mappings)	-1.6563761897950722	0.33671824629271435	Signal-voxel frac. (NPCr, aprf.cv>null)
12	pooled (both mappings)	-1.3593210484241205	0.4075859298789235	Signal-voxel frac. (NPCr, aprf.cv>null)
13	pooled (both mappings)	-1.4154630506625911	0.4606487431244538	Signal-voxel frac. (NPCr, aprf.cv>null)
14	pooled (both mappings)	-1.0501743887418002	0.3602830374107318	Signal-voxel frac. (NPCr, aprf.cv>null)
15	pooled (both mappings)	-1.9804479636957697	0.3215043394406943	Signal-voxel frac. (NPCr, aprf.cv>null)
16	pooled (both mappings)	-2.9353213007494334	0.2042481950402846	Signal-voxel frac. (NPCr, aprf.cv>null)
17	pooled (both mappings)	-3.3517979288659894	0.24109535324488596	Signal-voxel frac. (NPCr, aprf.cv>null)
19	pooled (both mappings)	-1.5504198772162168	0.2465980560320183	Signal-voxel frac. (NPCr, aprf.cv>null)
20	pooled (both mappings)	-1.1760348452861802	0.28000787091696183	Signal-voxel frac. (NPCr, aprf.cv>null)
21	pooled (both mappings)	-4.462555562021315	0.2299699051729033	Signal-voxel frac. (NPCr, aprf.cv>null)
03	cdf	-2.704812924978159	0.3714536230976389	Signal-voxel frac. (V1, vonmises.cv>null)
03	inverse_cdf	-3.3945696900348272	0.3714536230976389	Signal-voxel frac. (V1, vonmises.cv>null)
04	cdf	-1.230173379137391	0.2929181389870436	Signal-voxel frac. (V1, vonmises.cv>null)
04	inverse_cdf	-2.422996882532993	0.2929181389870436	Signal-voxel frac. (V1, vonmises.cv>null)
05	cdf	-0.8493328798777774	0.35198543315358216	Signal-voxel frac. (V1, vonmises.cv>null)
05	inverse_cdf	-2.1066992709406382	0.35198543315358216	Signal-voxel frac. (V1, vonmises.cv>null)
06	cdf	-1.228688663270917	0.45993911522767017	Signal-voxel frac. (V1, vonmises.cv>null)
06	inverse_cdf	-1.9062856366768777	0.45993911522767017	Signal-voxel frac. (V1, vonmises.cv>null)
07	cdf	-1.0203131243344008	0.23963218958281907	Signal-voxel frac. (V1, vonmises.cv>null)
07	inverse_cdf	-3.275806632099808	0.23963218958281907	Signal-voxel frac. (V1, vonmises.cv>null)
08	cdf	-2.4197495905877577	0.2951810450874472	Signal-voxel frac. (V1, vonmises.cv>null)
08	inverse_cdf	-3.8189080213408118	0.2951810450874472	Signal-voxel frac. (V1, vonmises.cv>null)
09	cdf	-1.6859383049443344	0.2840359828141783	Signal-voxel frac. (V1, vonmises.cv>null)
09	inverse_cdf	-2.878971631265456	0.2840359828141783	Signal-voxel frac. (V1, vonmises.cv>null)
10	cdf	-1.8232434680284115	0.28639927428238193	Signal-voxel frac. (V1, vonmises.cv>null)
10	inverse_cdf	-3.151716137846687	0.28639927428238193	Signal-voxel frac. (V1, vonmises.cv>null)
11	cdf	-0.9957783817875138	0.3370264674612501	Signal-voxel frac. (V1, vonmises.cv>null)
11	inverse_cdf	-2.3169739978026307	0.3370264674612501	Signal-voxel frac. (V1, vonmises.cv>null)
12	cdf	-0.8645373290209057	0.37109952532876817	Signal-voxel frac. (V1, vonmises.cv>null)
12	inverse_cdf	-1.8541047678273352	0.37109952532876817	Signal-voxel frac. (V1, vonmises.cv>null)
13	cdf	-0.6912043692046025	0.5636579976202618	Signal-voxel frac. (V1, vonmises.cv>null)
13	inverse_cdf	-2.13972173212058	0.5636579976202618	Signal-voxel frac. (V1, vonmises.cv>null)
14	cdf	-0.7965163562093526	0.2958963282937365	Signal-voxel frac. (V1, vonmises.cv>null)
14	inverse_cdf	-1.3038324212742478	0.2958963282937365	Signal-voxel frac. (V1, vonmises.cv>null)
15	cdf	-1.0901908551644528	0.14260452191486675	Signal-voxel frac. (V1, vonmises.cv>null)
15	inverse_cdf	-2.8707050722270866	0.14260452191486675	Signal-voxel frac. (V1, vonmises.cv>null)
16	cdf	-2.6549764284822546	0.0867780429594272	Signal-voxel frac. (V1, vonmises.cv>null)
16	inverse_cdf	-3.215666173016612	0.0867780429594272	Signal-voxel frac. (V1, vonmises.cv>null)
17	cdf	-2.0350359555850313	0.1665893271461717	Signal-voxel frac. (V1, vonmises.cv>null)
17	inverse_cdf	-4.6685599021469475	0.1665893271461717	Signal-voxel frac. (V1, vonmises.cv>null)
19	cdf	-1.2724968261814402	0.21453252032520326	Signal-voxel frac. (V1, vonmises.cv>null)
19	inverse_cdf	-1.8283429282509935	0.21453252032520326	Signal-voxel frac. (V1, vonmises.cv>null)
20	cdf	-0.9998269714139149	0.11673014942865514	Signal-voxel frac. (V1, vonmises.cv>null)
20	inverse_cdf	-1.3522427191584454	0.11673014942865514	Signal-voxel frac. (V1, vonmises.cv>null)
21	cdf	-3.3120223178796246	0.19275069955098587	Signal-voxel frac. (V1, vonmises.cv>null)
21	inverse_cdf	-5.613088806163005	0.19275069955098587	Signal-voxel frac. (V1, vonmises.cv>null)
03	pooled (both mappings)	-3.0496913075064933	0.3714536230976389	Signal-voxel frac. (V1, vonmises.cv>null)
04	pooled (both mappings)	-1.826585130835192	0.2929181389870436	Signal-voxel frac. (V1, vonmises.cv>null)
05	pooled (both mappings)	-1.4780160754092078	0.35198543315358216	Signal-voxel frac. (V1, vonmises.cv>null)
06	pooled (both mappings)	-1.5674871499738974	0.45993911522767017	Signal-voxel frac. (V1, vonmises.cv>null)
07	pooled (both mappings)	-2.1480598782171043	0.23963218958281907	Signal-voxel frac. (V1, vonmises.cv>null)
08	pooled (both mappings)	-3.119328805964285	0.2951810450874472	Signal-voxel frac. (V1, vonmises.cv>null)
09	pooled (both mappings)	-2.2824549681048953	0.2840359828141783	Signal-voxel frac. (V1, vonmises.cv>null)
10	pooled (both mappings)	-2.4874798029375493	0.28639927428238193	Signal-voxel frac. (V1, vonmises.cv>null)
11	pooled (both mappings)	-1.6563761897950722	0.3370264674612501	Signal-voxel frac. (V1, vonmises.cv>null)
12	pooled (both mappings)	-1.3593210484241205	0.37109952532876817	Signal-voxel frac. (V1, vonmises.cv>null)
13	pooled (both mappings)	-1.4154630506625911	0.5636579976202618	Signal-voxel frac. (V1, vonmises.cv>null)
14	pooled (both mappings)	-1.0501743887418002	0.2958963282937365	Signal-voxel frac. (V1, vonmises.cv>null)
