subject	nvoxels	metric	decoder	smoothing
09	100	0.35329667939542686	gabor	Unsmoothed
09	250	0.05579265186365767	gabor	Unsmoothed
09	500	-0.025974866684030692	gabor	Unsmoothed
09	fdr05	0.17229410022298197	gabor	Unsmoothed
09	psig95	0.2550567778435047	gabor	Unsmoothed
10	0	0.18907869836701136	gabor	Unsmoothed
10	50	0.23036963589538784	gabor	Unsmoothed
10	100	0.1784483628686686	gabor	Unsmoothed
10	250	-0.0010324375371483265	gabor	Unsmoothed
10	500	0.05454012460661455	gabor	Unsmoothed
10	fdr05	0.15127188283369916	gabor	Unsmoothed
11	0	0.1963148265710075	gabor	Unsmoothed
11	50	0.34523735078878326	gabor	Unsmoothed
11	100	-0.1180951350606656	gabor	Unsmoothed
11	250	0.3938074827409398	gabor	Unsmoothed
11	500	0.027811603059516334	gabor	Unsmoothed
12	0	0.43206021520532256	gabor	Unsmoothed
12	50	0.319908888126814	gabor	Unsmoothed
12	100	0.39000157742785957	gabor	Unsmoothed
12	250	-0.06916501121993628	gabor	Unsmoothed
12	500	0.030389414188571856	gabor	Unsmoothed
13	0	0.08646403772276043	gabor	Unsmoothed
13	50	0.10658013944682494	gabor	Unsmoothed
13	100	0.07271127157775692	gabor	Unsmoothed
13	250	-0.006686639376208885	gabor	Unsmoothed
13	500	-0.09788256573239709	gabor	Unsmoothed
13	fdr05	0.14306291569231333	gabor	Unsmoothed
14	0	0.1404372345167142	gabor	Unsmoothed
14	50	0.15909315959850728	gabor	Unsmoothed
14	100	0.2108260050332176	gabor	Unsmoothed
14	250	0.10143155716414762	gabor	Unsmoothed
14	500	0.14471609422658857	gabor	Unsmoothed
14	fdr05	0.0871161331827788	gabor	Unsmoothed
03	0	0.2359702840254364	value	Unsmoothed
03	50	0.17585462126506207	value	Unsmoothed
03	100	0.2060820350026113	value	Unsmoothed
03	250	0.06745553562918663	value	Unsmoothed
03	500	0.08065110157189832	value	Unsmoothed
03	fdr05	0.2266746907183293	value	Unsmoothed
03	psig95	0.2266746907183293	value	Unsmoothed
04	0	0.4495525412723059	value	Unsmoothed
04	50	0.4559878944700867	value	Unsmoothed
04	100	0.4576179117791307	value	Unsmoothed
04	250	0.3925529760781824	value	Unsmoothed
04	500	0.420001152414767	value	Unsmoothed
04	fdr05	0.5102488362234647	value	Unsmoothed
04	psig95	0.5013407386150355	value	Unsmoothed
05	0	0.03239801393666442	value	Unsmoothed
05	50	0.12767914977492087	value	Unsmoothed
05	100	0.05964968691368183	value	Unsmoothed
05	250	0.053447779915509405	value	Unsmoothed
05	500	0.1406565806308538	value	Unsmoothed
05	fdr05	0.11977171111598368	value	Unsmoothed
05	psig95	0.11977171111598368	value	Unsmoothed
06	0	0.5511553050691795	value	Unsmoothed
06	50	0.5980381651065446	value	Unsmoothed
06	100	0.5625993375751176	value	Unsmoothed
06	250	0.35334020344854594	value	Unsmoothed
06	500	0.30935065014157725	value	Unsmoothed
06	fdr05	0.5322878614862898	value	Unsmoothed
06	psig95	0.5122871921504297	value	Unsmoothed
07	0	0.25210046446569767	value	Unsmoothed
07	50	0.17921955096521552	value	Unsmoothed
07	100	0.116526612624697	value	Unsmoothed
07	250	0.09139172135249862	value	Unsmoothed
07	500	0.10678382805555957	value	Unsmoothed
07	fdr05	0.17491910576624675	value	Unsmoothed
08	0	0.3237662648288867	value	Unsmoothed
08	50	0.476306749640764	value	Unsmoothed
08	100	0.3713027878508371	value	Unsmoothed
08	250	0.25947628293903435	value	Unsmoothed
08	500	0.1400346103820302	value	Unsmoothed
08	fdr05	0.28007222348702265	value	Unsmoothed
08	psig95	0.2880786060684154	value	Unsmoothed
09	0	0.37218064737338297	value	Unsmoothed
09	50	0.43127898438685747	value	Unsmoothed
09	100	0.4441660911260015	value	Unsmoothed
09	250	0.2554026416370511	value	Unsmoothed
09	500	0.27004603319381293	value	Unsmoothed
09	fdr05	0.3959927301222533	value	Unsmoothed
09	psig95	0.3735940982366184	value	Unsmoothed
10	0	0.4327044090584967	value	Unsmoothed
10	50	0.42493467618937186	value	Unsmoothed
10	100	0.3658933940160165	value	Unsmoothed
10	250	0.08884909600472546	value	Unsmoothed
10	500	0.12086450230537202	value	Unsmoothed
10	fdr05	0.35101095389821935	value	Unsmoothed
11	0	0.17627204395412255	value	Unsmoothed
11	50	0.2645276924376663	value	Unsmoothed
11	100	0.31519150980758137	value	Unsmoothed
11	250	0.25030576374274394	value	Unsmoothed
11	500	0.18426107290072985	value	Unsmoothed
12	0	0.4039810396618311	value	Unsmoothed
12	50	0.4812492059790157	value	Unsmoothed
12	100	0.4492668101442809	value	Unsmoothed
12	250	0.2677518513409505	value	Unsmoothed
12	500	0.31891683973270246	value	Unsmoothed
13	0	0.3664775811662806	value	Unsmoothed
13	50	0.24679743972769855	value	Unsmoothed
13	100	0.2744279181544951	value	Unsmoothed
13	250	0.23360508297903232	value	Unsmoothed
13	500	0.21843357923441833	value	Unsmoothed
13	fdr05	0.3745098574138762	value	Unsmoothed
14	0	0.209317853971106	value	Unsmoothed
14	50	0.20972253984663924	value	Unsmoothed
14	100	0.2013731035456905	value	Unsmoothed
14	250	0.11921661061875424	value	Unsmoothed
14	500	0.15275855798827143	value	Unsmoothed
14	fdr05	0.21652153218263234	value	Unsmoothed
03	0	0.1366940364626854	gabor	Smoothed
03	50	0.26449934506505596	gabor	Smoothed
03	100	0.2640482862187943	gabor	Smoothed
03	250	0.2388125378130491	gabor	Smoothed
03	500	0.1554015032146775	gabor	Smoothed
04	0	0.4660004252325062	gabor	Smoothed
04	50	0.19734844838403087	gabor	Smoothed
04	100	0.3054854347933043	gabor	Smoothed
04	250	0.14797757048854032	gabor	Smoothed
04	500	-0.019298097242218572	gabor	Smoothed
05	0	0.45259657738834025	gabor	Smoothed
05	50	0.3809524930025671	gabor	Smoothed
05	100	0.49972234219985057	gabor	Smoothed
05	250	0.21342171112204208	gabor	Smoothed
05	500	0.11817350069022851	gabor	Smoothed
06	0	0.30723656747372496	gabor	Smoothed
06	50	0.4214877925855527	gabor	Smoothed
06	100	0.4486014414693597	gabor	Smoothed
06	250	0.055268757945010814	gabor	Smoothed
06	500	0.20616203482997003	gabor	Smoothed
07	0	0.3328535667543928	gabor	Smoothed
07	50	0.13672414650484394	gabor	Smoothed
07	100	0.28709851421175503	gabor	Smoothed
07	250	0.13912856369859786	gabor	Smoothed
07	500	0.05805602516409466	gabor	Smoothed
08	0	0.28728632986406133	gabor	Smoothed
08	50	0.36694929564243656	gabor	Smoothed
08	100	0.264365165705218	gabor	Smoothed
08	250	0.2341869148898678	gabor	Smoothed
08	500	0.14220457981120938	gabor	Smoothed
09	0	0.3251108121338508	gabor	Smoothed
09	50	0.2174906343251787	gabor	Smoothed
09	100	0.3172098386458517	gabor	Smoothed
09	250	0.17381026363013583	gabor	Smoothed
09	500	0.16875503278843362	gabor	Smoothed
10	0	0.2625566801545661	gabor	Smoothed
10	50	0.17143780341985715	gabor	Smoothed
10	100	0.09468138329865668	gabor	Smoothed
10	250	0.24400564430620264	gabor	Smoothed
10	500	-0.06643907274626318	gabor	Smoothed
11	0	0.15734529545566836	gabor	Smoothed
11	50	0.24776862431481828	gabor	Smoothed
11	100	0.21830668872886172	gabor	Smoothed
11	250	0.16772575440864412	gabor	Smoothed
11	500	0.06561512525347823	gabor	Smoothed
12	0	0.16660418149500422	gabor	Smoothed
12	50	0.19452150149145453	gabor	Smoothed
12	100	0.3688516725063336	gabor	Smoothed
12	250	0.07716218857581794	gabor	Smoothed
12	500	-0.10756626742920491	gabor	Smoothed
13	0	0.12512677197927685	gabor	Smoothed
13	50	0.06150417502233782	gabor	Smoothed
13	100	0.16120934481703342	gabor	Smoothed
13	250	0.17805782748227253	gabor	Smoothed
13	500	0.12457388059472227	gabor	Smoothed
14	0	0.15107780771417734	gabor	Smoothed
14	50	0.0515142119588121	gabor	Smoothed
14	100	0.18162729558806767	gabor	Smoothed
14	250	0.16867528839440943	gabor	Smoothed
14	500	0.1642563722428419	gabor	Smoothed
03	0	0.21661171038666682	value	Smoothed
03	50	0.18274301178793673	value	Smoothed
03	100	0.10787384730150376	value	Smoothed
03	250	0.05999185172148065	value	Smoothed
03	500	0.1848369794229771	value	Smoothed
04	0	0.4711830228060061	value	Smoothed
04	50	0.5090296107631287	value	Smoothed
04	100	0.49593681152058744	value	Smoothed
04	250	0.38720174618475245	value	Smoothed
04	500	0.23096649789873436	value	Smoothed
05	0	0.17812717882554285	value	Smoothed
05	50	0.051677660973989896	value	Smoothed
05	100	0.016397260343421108	value	Smoothed
05	250	0.07285290302220068	value	Smoothed
05	500	0.09755337144541147	value	Smoothed
06	0	0.6230140588120396	value	Smoothed
06	50	0.7963140618604201	value	Smoothed
06	100	0.7600837243498733	value	Smoothed
06	250	0.5678403325711464	value	Smoothed
06	500	0.47485115068378275	value	Smoothed
07	0	0.07113285879914566	value	Smoothed
07	50	0.13291136337978648	value	Smoothed
07	100	0.19340210694837218	value	Smoothed
07	250	0.1230606379878429	value	Smoothed
07	500	0.154442429494103	value	Smoothed
08	0	0.2845766042374003	value	Smoothed
08	50	0.44899704706780363	value	Smoothed
08	100	0.35300256408939956	value	Smoothed
08	250	0.2171655435152802	value	Smoothed
08	500	0.12970084838120596	value	Smoothed
09	0	0.3059485256204087	value	Smoothed
09	50	0.35588630351577744	value	Smoothed
09	100	0.3594115973204911	value	Smoothed
09	250	0.28855680612502665	value	Smoothed
09	500	0.24733761133716567	value	Smoothed
10	0	0.3795154265113466	value	Smoothed
10	50	0.4572823109453353	value	Smoothed
10	100	0.37149829916217825	value	Smoothed
10	250	0.2616002503463023	value	Smoothed
10	500	0.1329764298910317	value	Smoothed
11	0	0.0141368061861275	value	Smoothed
11	50	0.1794537757929803	value	Smoothed
11	100	0.15242286701312885	value	Smoothed
11	250	0.10127377931225807	value	Smoothed
11	500	0.20617474092257826	value	Smoothed
12	0	0.2978601710646641	value	Smoothed
12	50	0.41587162758440027	value	Smoothed
12	100	0.45737121209105785	value	Smoothed
12	250	0.3495541634461362	value	Smoothed
12	500	0.29214058454939973	value	Smoothed
13	0	0.45626793098489543	value	Smoothed
13	50	0.3708087259613291	value	Smoothed
13	100	0.4091309552652285	value	Smoothed
13	250	0.370743477406105	value	Smoothed
13	500	0.22672412406308118	value	Smoothed
14	0	0.2680052765950862	value	Smoothed
14	50	0.3334564595278895	value	Smoothed
14	100	0.2931797670338534	value	Smoothed
14	250	0.127275402565648	value	Smoothed
14	500	0.24514813535422086	value	Smoothed
