subject	model	mask	nvoxels	r
11	Linear	V1	0	0.1362517370208412
11	Linear	V1	50	0.28019758058440636
11	Linear	V1	100	0.13218398945584375
11	Linear	V1	250	0.12974152806401085
11	Linear	V1	500	0.18214837141558415
11	Linear	NPCr	0	0.09726233740373941
11	Linear	NPCr	50	0.06698357986522584
11	Linear	NPCr	100	0.05067604619220878
11	Linear	NPCr	250	0.08016323859568635
11	Linear	NPCr	500	0.0745023722131403
12	Von Mises	V1	0	0.2924772384012968
12	Von Mises	V1	50	0.1564762972448438
12	Von Mises	V1	100	0.09628801478914559
12	Von Mises	V1	250	-0.17076338196614022
12	Von Mises	V1	500	-0.2079282579490428
12	Von Mises	NPCr	0	-0.02408094282787007
12	Von Mises	NPCr	50	-0.10967327510425219
12	Von Mises	NPCr	100	-0.05526741446260973
12	Von Mises	NPCr	250	0.02082679595728039
12	Von Mises	NPCr	500	0.10528581946814289
12	Linear	V1	0	0.21487030057884374
12	Linear	V1	50	0.09622997722035369
12	Linear	V1	100	0.19853788172241862
12	Linear	V1	250	0.23447298330295613
12	Linear	V1	500	0.14588217855357294
12	Linear	NPCr	0	0.07250646592278345
12	Linear	NPCr	50	0.02086421109787686
12	Linear	NPCr	100	-0.0003158669434243644
12	Linear	NPCr	250	-0.024485783593269903
12	Linear	NPCr	500	-0.03338819539496015
13	Von Mises	V1	0	0.01651801496782608
13	Von Mises	V1	50	-0.029370788029560165
13	Von Mises	V1	100	-0.07575237358362552
13	Von Mises	V1	250	-0.13612591458199597
13	Von Mises	V1	500	-0.12707413926277308
13	Von Mises	NPCr	0	0.14190422932407665
13	Von Mises	NPCr	50	0.025202158857509482
13	Von Mises	NPCr	100	0.09930783957495223
13	Von Mises	NPCr	250	0.05851712890241169
13	Von Mises	NPCr	500	0.06784973791486446
13	Linear	V1	0	0.049074532816044875
13	Linear	V1	50	0.049602067329620664
13	Linear	V1	100	0.03504643527727638
13	Linear	V1	250	0.022956928349609662
13	Linear	V1	500	0.01344163400549709
13	Linear	NPCr	0	0.017555614398135515
13	Linear	NPCr	50	0.0655421227705115
13	Linear	NPCr	100	0.07082991575392399
13	Linear	NPCr	250	-0.04299235092812352
13	Linear	NPCr	500	-0.038584447370510734
14	Von Mises	V1	0	0.08262722108283624
14	Von Mises	V1	50	0.06982281848777133
14	Von Mises	V1	100	0.08168595345301352
14	Von Mises	V1	250	0.17983101967033702
14	Von Mises	V1	500	0.1407443947909417
14	Von Mises	NPCr	0	0.02428389638919705
14	Von Mises	NPCr	50	-0.019695631830175732
14	Von Mises	NPCr	100	0.03872986344849366
14	Von Mises	NPCr	250	-0.0046934161128953066
14	Von Mises	NPCr	500	0.019991456806125962
14	Linear	V1	0	0.08739098451886182
14	Linear	V1	50	0.17297715021375845
14	Linear	V1	100	0.08231311427626278
14	Linear	V1	250	0.12638587189512732
14	Linear	V1	500	0.04803009455097197
14	Linear	NPCr	0	0.016155821231391608
14	Linear	NPCr	50	-0.09395741651795246
14	Linear	NPCr	100	0.05553434750238716
14	Linear	NPCr	250	0.08830073191864077
14	Linear	NPCr	500	0.09781280098173825
15	Von Mises	V1	0	0.141092708878649
15	Von Mises	V1	50	0.07733145799349636
15	Von Mises	V1	100	0.005588692674491386
15	Von Mises	V1	250	-0.10059024862119346
15	Von Mises	V1	500	-0.10818758938016856
15	Von Mises	NPCr	0	0.036706971550049206
15	Von Mises	NPCr	50	-0.1417438612080166
15	Von Mises	NPCr	100	-0.11491726125710297
15	Von Mises	NPCr	250	-0.08974986465021242
15	Von Mises	NPCr	500	-0.0921384292367172
15	Linear	V1	0	0.24256392428354318
15	Linear	V1	50	0.11697644872759741
15	Linear	V1	100	0.07554978923619315
15	Linear	V1	250	0.08950138519991799
15	Linear	V1	500	0.14879439049010154
15	Linear	NPCr	0	0.10022047941719639
15	Linear	NPCr	50	0.17710322524950617
15	Linear	NPCr	100	0.145248974761867
15	Linear	NPCr	250	-0.024836689672208204
15	Linear	NPCr	500	-0.026160818327397514
16	Von Mises	V1	50	0.050681416978842125
16	Von Mises	V1	100	0.048288424324143916
16	Von Mises	V1	250	0.057968826326913844
16	Von Mises	V1	500	0.002455041112080756
16	Von Mises	NPCr	0	0.17611058501721466
16	Von Mises	NPCr	50	0.06616002346153901
16	Von Mises	NPCr	100	0.06256764338938932
16	Von Mises	NPCr	250	0.10381133530671391
16	Von Mises	NPCr	500	0.11829481533576572
16	Linear	V1	0	0.16235939821499623
16	Linear	V1	50	0.12071756034536124
16	Linear	V1	100	0.19658840849403914
16	Linear	V1	250	0.10674987796721543
16	Linear	V1	500	0.15449547793304116
16	Linear	NPCr	0	0.14626792480699274
16	Linear	NPCr	50	0.05861114506010229
16	Linear	NPCr	100	0.04247142680038203
16	Linear	NPCr	250	0.04585757886937089
16	Linear	NPCr	500	0.04768457824579758
17	Von Mises	V1	0	0.14192940239161986
17	Von Mises	V1	50	0.1372952280358292
17	Von Mises	V1	100	0.16727809174857966
17	Von Mises	V1	250	0.1286415802327812
17	Von Mises	V1	500	0.1928391852776251
17	Von Mises	NPCr	0	-0.05280026722745336
17	Von Mises	NPCr	50	0.03195686549480385
17	Von Mises	NPCr	100	0.12185606024472065
17	Von Mises	NPCr	250	0.044578621329697254
17	Von Mises	NPCr	500	0.11460067105574205
17	Linear	V1	0	0.07138093691126404
17	Linear	V1	50	0.11795143871768987
17	Linear	V1	100	0.022260005609938224
17	Linear	V1	250	0.012036393440281241
17	Linear	V1	500	0.05700280472247747
17	Linear	NPCr	0	0.00293248403414268
17	Linear	NPCr	50	0.03602905079867026
17	Linear	NPCr	100	0.0478563940967445
17	Linear	NPCr	250	0.05695542424089729
17	Linear	NPCr	500	0.0696196285289864
18	Von Mises	V1	0	0.2364103480997245
18	Von Mises	V1	50	0.14502522120041553
18	Von Mises	V1	100	0.24086678665632502
18	Von Mises	V1	250	0.24646015536280727
18	Von Mises	V1	500	0.2980312970528363
18	Von Mises	NPCr	0	0.09855017566775544
18	Von Mises	NPCr	50	-0.006836054362911507
18	Von Mises	NPCr	100	0.010576454891120262
18	Von Mises	NPCr	250	0.04702616916278357
18	Von Mises	NPCr	500	0.10428226149944497
18	Linear	V1	0	0.11271822021869998
18	Linear	V1	50	0.09793499656315108
18	Linear	V1	100	0.13786652937509405
18	Linear	V1	250	0.1166009704252651
18	Linear	V1	500	0.10857064952666266
18	Linear	NPCr	0	-0.03726811594084148
18	Linear	NPCr	50	0.15418854723759176
18	Linear	NPCr	100	0.05375470041796751
18	Linear	NPCr	250	0.1101225670418873
18	Linear	NPCr	500	0.1013266287554426
19	Von Mises	V1	0	0.10492050366052967
19	Von Mises	V1	50	-0.04954798147741976
19	Von Mises	V1	100	0.0161229048427058
19	Von Mises	V1	250	0.04955335903523465
19	Von Mises	V1	500	0.0447253079793895
19	Von Mises	NPCr	0	0.1611100854372852
19	Von Mises	NPCr	50	0.13777957125528065
19	Von Mises	NPCr	100	0.1500009137460023
19	Von Mises	NPCr	250	0.1664533693884242
19	Von Mises	NPCr	500	0.1773629027176551
19	Linear	V1	0	0.3251312737469454
19	Linear	V1	50	0.16230280952308343
19	Linear	V1	100	0.2175824517419401
19	Linear	V1	250	0.2822118128986426
19	Linear	V1	500	0.22624856860152387
19	Linear	NPCr	0	0.03610027058123086
19	Linear	NPCr	50	0.09360422868927538
19	Linear	NPCr	100	0.07256855130090725
19	Linear	NPCr	250	0.0633901595234908
19	Linear	NPCr	500	0.02787315455756457
20	Von Mises	V1	0	0.19056052553721292
20	Von Mises	V1	50	0.12352854403665722
20	Von Mises	V1	100	0.11842777205010038
20	Von Mises	V1	250	0.05592223226669264
20	Von Mises	V1	500	0.04119887447869344
20	Von Mises	NPCr	0	0.029633346824660654
20	Von Mises	NPCr	50	0.009744927237063664
20	Von Mises	NPCr	100	-0.024295734775958894
20	Von Mises	NPCr	250	0.0014678790896227728
20	Von Mises	NPCr	500	0.0374175376906211
20	Linear	V1	0	0.09189264243503872
20	Linear	V1	50	0.04876200599498128
20	Linear	V1	100	0.06583071069692444
20	Linear	V1	250	0.03432342284860894
20	Linear	V1	500	0.041732195128266265
20	Linear	NPCr	0	-0.003383968256645869
20	Linear	NPCr	50	0.033385857100379265
20	Linear	NPCr	100	0.042882175039405765
20	Linear	NPCr	250	0.07852923067380489
20	Linear	NPCr	500	0.06315335386172466
21	Von Mises	V1	0	-0.034231675042225684
21	Von Mises	V1	50	-0.008037715450289924
21	Von Mises	V1	100	-0.04173587078651191
21	Von Mises	V1	250	-0.08607091394649052
21	Von Mises	V1	500	-0.11112553227671777
21	Von Mises	NPCr	0	0.04173414985655432
21	Von Mises	NPCr	50	0.015625739928948973
21	Von Mises	NPCr	100	0.03907217681435709
21	Von Mises	NPCr	250	-0.021149242656748696
21	Von Mises	NPCr	500	0.09129471860166691
21	Linear	V1	0	0.042744048898576095
21	Linear	V1	50	0.1086892805040312
21	Linear	V1	100	0.04650828951541655
21	Linear	V1	250	0.005427594031992479
21	Linear	V1	500	-0.06850521088805588
21	Linear	NPCr	0	0.09823945671219593
21	Linear	NPCr	50	0.10563673032008836
21	Linear	NPCr	100	0.11159228402623034
21	Linear	NPCr	250	0.08152260925807439
21	Linear	NPCr	500	0.1087108396881624
22	Von Mises	V1	50	-0.09281308642212874
22	Von Mises	V1	100	-0.12106457857792945
22	Von Mises	V1	250	-0.043805751033384396
22	Von Mises	V1	500	-0.054944538855431324
22	Von Mises	NPCr	50	0.07063782871776599
22	Von Mises	NPCr	100	0.027096791908644065
22	Von Mises	NPCr	250	0.08775260141484714
22	Von Mises	NPCr	500	0.08246720814821912
22	Linear	V1	0	0.0359938196788475
22	Linear	V1	50	0.017168094618563237
22	Linear	V1	100	0.033379980512962204
22	Linear	V1	250	0.03167646048895141
22	Linear	V1	500	0.023219310984541372
22	Linear	NPCr	0	-0.05149936288493105
22	Linear	NPCr	50	0.02778481448164711
22	Linear	NPCr	100	-0.007801822270427784
22	Linear	NPCr	250	0.0424511835477601
22	Linear	NPCr	500	0.041253157041376436
23	Von Mises	V1	0	-0.08198266795133083
23	Von Mises	V1	50	0.002133980879492494
23	Von Mises	V1	100	0.05174900734861358
23	Von Mises	V1	250	0.07893994175683522
23	Von Mises	V1	500	0.055024043585901766
23	Von Mises	NPCr	0	-0.009912735341835933
23	Von Mises	NPCr	50	-0.025999164548484797
23	Von Mises	NPCr	100	0.0036765789370797703
23	Von Mises	NPCr	250	0.04413449627296936
23	Von Mises	NPCr	500	0.04719791365615677
23	Linear	V1	0	0.052212301218297036
23	Linear	V1	50	-0.05098748591948628
23	Linear	V1	100	-0.02607489210470665
23	Linear	V1	250	-0.012586126438362908
23	Linear	V1	500	-0.017437645224963633
23	Linear	NPCr	0	0.04123533864289097
23	Linear	NPCr	50	0.07377995656808037
23	Linear	NPCr	100	0.13030827972642622
23	Linear	NPCr	250	0.06943079716598777
23	Linear	NPCr	500	0.03856336369491284
24	Von Mises	V1	0	-0.01931784089352699
24	Von Mises	V1	50	-0.0751563232534416
24	Von Mises	V1	100	1.2219399579113666e-05
24	Von Mises	V1	250	0.0047226017400471
24	Von Mises	V1	500	-0.0770873973084526
24	Von Mises	NPCr	0	-0.004442675846186555
24	Von Mises	NPCr	50	0.027719381861364186
24	Von Mises	NPCr	100	-0.06899386609476243
24	Von Mises	NPCr	250	-0.012667605883526032
24	Von Mises	NPCr	500	0.044848856488964126
24	Linear	V1	0	0.24260330432296018
24	Linear	V1	50	0.12543613504604828
24	Linear	V1	100	0.27013077030115906
24	Linear	V1	250	0.3338709835843685
24	Linear	V1	500	0.3174119343912538
24	Linear	NPCr	0	0.019676670122494452
24	Linear	NPCr	50	0.06342934345348065
24	Linear	NPCr	100	0.03755746581375456
24	Linear	NPCr	250	0.06596735683896415
24	Linear	NPCr	500	0.06704386628438665
25	Von Mises	V1	0	0.19284427902280404
25	Von Mises	V1	50	0.29371820684106825
25	Von Mises	V1	100	0.28244632570336525
25	Von Mises	V1	250	0.1967190927595508
25	Von Mises	V1	500	0.2625233252398585
25	Von Mises	NPCr	0	0.2944631818900158
25	Von Mises	NPCr	50	0.31434795886477995
25	Von Mises	NPCr	100	0.3111426931451202
25	Von Mises	NPCr	250	0.19882078479312432
25	Von Mises	NPCr	500	0.15517881742270798
25	Linear	V1	0	0.11501665177132202
25	Linear	V1	50	0.10462728952839992
25	Linear	V1	100	0.09629447108576983
25	Linear	V1	250	0.04565928492738558
25	Linear	V1	500	0.05139468270249531
25	Linear	NPCr	0	0.16011001239085415
25	Linear	NPCr	50	0.002159671595739175
25	Linear	NPCr	100	-0.03280485991534532
25	Linear	NPCr	250	-0.033037909053457576
25	Linear	NPCr	500	0.003021454294952909
pil01	Von Mises	V1	0	-0.14887800896851866
pil01	Von Mises	V1	50	0.22284888207896025
pil01	Von Mises	V1	100	0.14538029130457608
pil01	Von Mises	V1	250	-0.05573755783765327
pil01	Von Mises	V1	500	-0.1565301386320166
pil01	Von Mises	NPCr	0	0.034267545738178196
pil01	Von Mises	NPCr	50	0.1079551019867712
pil01	Von Mises	NPCr	100	0.17476747672934162
pil01	Von Mises	NPCr	250	0.08553597232217071
pil01	Von Mises	NPCr	500	0.036150139208666464
pil01	Linear	V1	0	0.0951934845820476
pil01	Linear	V1	50	0.22374051662348365
pil01	Linear	V1	100	0.2046111610828483
pil01	Linear	V1	250	0.12722422799100802
pil01	Linear	V1	500	0.05473736494649427
pil01	Linear	NPCr	0	0.07480500782274327
pil01	Linear	NPCr	50	0.06002340196266486
pil01	Linear	NPCr	100	0.10977991834434635
pil01	Linear	NPCr	250	0.04811505823343368
pil01	Linear	NPCr	500	0.057357677063417045
pil02	Von Mises	V1	0	0.154941059645704
pil02	Von Mises	V1	50	0.19526958569775904
pil02	Von Mises	V1	100	0.055245574336769604
pil02	Von Mises	V1	250	0.06212748125041375
pil02	Von Mises	V1	500	0.08233607094611806
pil02	Von Mises	NPCr	0	-0.07909474087914688
pil02	Von Mises	NPCr	50	-0.13953382020401345
pil02	Von Mises	NPCr	100	-0.07476679909584111
pil02	Von Mises	NPCr	250	0.0059498503615322725
pil02	Von Mises	NPCr	500	-0.08570834831797944
pil02	Linear	V1	0	0.034717961685714095
pil02	Linear	V1	50	0.16374673187812455
pil02	Linear	V1	100	0.28655786830507457
pil02	Linear	V1	250	0.061514992695733156
pil02	Linear	V1	500	0.08653171656895282
pil02	Linear	NPCr	0	0.0031311342209052323
pil02	Linear	NPCr	50	0.0013125380088266012
pil02	Linear	NPCr	100	0.021649518856813824
pil02	Linear	NPCr	250	0.027882753561460034
pil02	Linear	NPCr	500	0.04899840818067698
