value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
14.0	20.51013994550705	16.87853642505257	6.510139945507049	6.69041751909256	1000	04	1	cdf	4.108349598689548	unsmoothed
16.0	21.075611996650697	14.98806628992617	5.075611996650696	5.345638030052185	1000	04	1	cdf	3.871442404314724	unsmoothed
18.5	20.95107472038269	11.130951756219565	2.4510747203826906	3.1097070178985597	1000	04	1	cdf	3.336308102711673	unsmoothed
22.0	22.39986625957489	10.83625560966466	0.3998662595748901	2.4675975160598753	1000	04	1	cdf	3.29184683873121	unsmoothed
25.5	22.906223994731903	15.526258524528217	-2.5937760052680967	3.703892105579376	1000	04	1	cdf	3.9403373617658954	unsmoothed
28.0	24.49934732913971	14.822195343406076	-3.5006526708602905	3.9110573682785033	1000	04	1	cdf	3.8499604340052738	unsmoothed
30.0	25.56265288925171	17.055176142540642	-4.437347110748291	4.5633982582092285	1000	04	1	cdf	4.12979129527639	unsmoothed
31.0	25.78735673713684	16.851524579941113	-5.21264326286316	5.260580209732056	1000	04	1	cdf	4.105060849724534	unsmoothed
31.5	25.158436982154846	20.002391441320764	-6.341563017845154	6.393718997001648	1000	04	1	cdf	4.472403318275395	unsmoothed
32.0	24.88326409435272	22.48864599948208	-7.116735905647277	7.161334477424622	1000	04	1	cdf	4.742219522489663	unsmoothed
32.5	25.1748374915123	24.63455348497245	-7.325162508487701	7.366001322269439	1000	04	1	cdf	4.963320812215593	unsmoothed
33.0	25.344400068283083	24.06854878049204	-7.655599931716919	7.693113534927368	1000	04	1	cdf	4.90597072764321	unsmoothed
34.0	25.469277408599854	21.899617161753735	-8.530722591400146	8.55185768508911	1000	04	1	cdf	4.679702678777118	unsmoothed
36.0	26.99796358203888	25.79673584578144	-9.00203641796112	9.002248660087586	1000	04	1	cdf	5.079048714649372	unsmoothed
38.5	25.930881631851197	27.03687666021882	-12.569118368148803	12.569118368148803	1000	04	1	cdf	5.199699670194311	unsmoothed
2.5	5.8413086256980895	30.772616332452888	3.3413086256980895	3.3413086256980895	1000	04	2	inverse_cdf	5.547307124403055	unsmoothed
3.0	6.703914281129837	31.899022843689124	3.703914281129837	3.723269275903702	1000	04	2	inverse_cdf	5.64792199341396	unsmoothed
4.0	8.37076197385788	37.88625019848898	4.37076197385788	4.493863635540008	1000	04	2	inverse_cdf	6.155180760829773	unsmoothed
5.0	9.574397218227386	30.224935021384916	4.574397218227387	4.7573358035087585	1000	04	2	inverse_cdf	5.497720893368898	unsmoothed
7.5	10.99614565873146	19.451603711386127	3.4961456587314608	3.815827193021774	1000	04	2	inverse_cdf	4.410397228298844	unsmoothed
11.5	13.110749920368194	13.707602766714142	1.6107499203681943	2.3474282984733583	1000	04	2	inverse_cdf	3.702377988092807	unsmoothed
16.0	16.943407373428343	10.833923299356185	0.9434073734283448	1.9314715213775635	1000	04	2	inverse_cdf	3.291492564074266	unsmoothed
18.5	19.695911758422852	19.725113064510634	1.1959117584228516	3.2960204887390137	1000	04	2	inverse_cdf	4.441296327032304	unsmoothed
20.0	20.916146387577054	28.041652497052127	0.9161463875770568	4.096538518428803	1000	04	2	inverse_cdf	5.29543695053129	unsmoothed
21.0	21.4253141040802	25.453557721333876	0.4253141040802002	3.727124265670776	1000	04	2	inverse_cdf	5.04515190270163	unsmoothed
21.5	22.043278345108032	32.70942979178323	0.5432783451080322	4.475427362442017	1000	04	2	inverse_cdf	5.719215837139147	unsmoothed
22.0	22.022798190116884	24.2540961086631	0.0227981901168823	3.546601227760315	1000	04	2	inverse_cdf	4.924844780159381	unsmoothed
22.5	22.408278086185454	33.21711875501297	-0.0917219138145446	4.483047460079193	1000	04	2	inverse_cdf	5.763429426566527	unsmoothed
23.0	22.752892282485963	31.966399185816968	-0.2471077175140381	4.318175371170044	1000	04	2	inverse_cdf	5.653883549014515	unsmoothed
24.0	23.89584089279175	22.50249892571263	-0.1041591072082519	3.333338771820068	1000	04	2	inverse_cdf	4.743679892837693	unsmoothed
25.5	24.625983053684234	26.04907133180835	-0.8740169463157654	3.900064664363861	1000	04	2	inverse_cdf	5.1038290852857084	unsmoothed
28.0	27.133839948654177	21.911139989776643	-0.8661600513458252	3.2261556186676024	1000	04	2	inverse_cdf	4.680933666457649	unsmoothed
32.5	30.429880083084107	16.744303835984404	-2.0701199169158935	2.9482695751190184	1000	04	2	inverse_cdf	4.0919804295700635	unsmoothed
36.5	32.318988669395445	30.65326033915474	-4.181011330604553	4.938204697608947	1000	04	2	inverse_cdf	5.536538660494907	unsmoothed
39.0	35.273283480644224	21.8956800439131	-3.726716519355774	3.882059636116028	1000	04	2	inverse_cdf	4.679282000896409	unsmoothed
40.0	36.82779598140717	17.73093819399663	-3.172204018592834	3.2500137033462524	1000	04	2	inverse_cdf	4.210812058736014	unsmoothed
41.0	37.92817378616333	11.54423090749894	-3.07182621383667	3.07182621383667	1000	04	2	inverse_cdf	3.3976802244323907	unsmoothed
41.5	37.65052228069305	11.258778329152712	-3.849477719306946	3.849477719306946	1000	04	2	inverse_cdf	3.3554103071238117	unsmoothed
2.5	17.836793093442918	40.103385783544994	15.336793093442918	15.336793093442918	1000	05	1	inverse_cdf	6.332723409682835	unsmoothed
3.0	18.328507864952087	35.72654135275429	15.328507864952089	15.328507864952089	1000	05	1	inverse_cdf	5.977168339000859	unsmoothed
4.0	18.680001054763792	31.284213221794488	14.680001054763794	14.680001054763794	1000	05	1	inverse_cdf	5.593229230220633	unsmoothed
5.0	18.956688139915467	30.005021748240967	13.956688139915466	13.956829865455628	1000	05	1	inverse_cdf	5.477683976667599	unsmoothed
7.5	17.231035381317138	27.227792149596052	9.731035381317138	9.732830379486083	1000	05	1	inverse_cdf	5.218025694608647	unsmoothed
11.5	18.28070354747772	24.94289269061815	6.780703547477722	6.898873572349548	1000	05	1	inverse_cdf	4.994286004086885	unsmoothed
16.0	19.810808444976807	17.29542303189381	3.8108084449768063	4.355951141357422	1000	05	1	inverse_cdf	4.158776626833162	unsmoothed
18.5	20.0001687002182	10.323338338819124	1.5001687002182007	2.2874084405899047	1000	05	1	inverse_cdf	3.2129952285708616	unsmoothed
20.0	21.131033886909485	10.97364062198072	1.131033886909485	2.4376709814071655	1000	05	1	inverse_cdf	3.312648581117641	unsmoothed
21.0	21.76456321144104	14.149066563460682	0.76456321144104	2.880383581161499	1000	05	1	inverse_cdf	3.7615244999149855	unsmoothed
21.5	22.049364174842836	18.337196034532976	0.5493641748428345	3.385069003105164	1000	05	1	inverse_cdf	4.282195235452603	unsmoothed
22.0	22.16802334022522	17.613273842264622	0.1680233402252197	3.2473588581085204	1000	05	1	inverse_cdf	4.196817108507902	unsmoothed
22.5	22.353617780685425	16.025100102532793	-0.1463822193145752	3.0361638317108155	1000	05	1	inverse_cdf	4.003136283282496	unsmoothed
23.0	22.805989024162297	17.187651049481378	-0.1940109758377075	3.215501564979553	1000	05	1	inverse_cdf	4.145799205157116	unsmoothed
24.0	22.900629858493804	18.496139765314062	-1.0993701415061952	3.4042810454368593	1000	05	1	inverse_cdf	4.300713866942797	unsmoothed
25.5	23.71855963420868	15.879081290852485	-1.7814403657913207	3.238635418891907	1000	05	1	inverse_cdf	3.9848564956410266	unsmoothed
28.0	26.20135130023956	10.36532208537484	-1.798648699760437	2.2285555334091187	1000	05	1	inverse_cdf	3.2195220274715997	unsmoothed
32.5	26.76038625907898	21.530537681233348	-5.739613740921021	5.792212411880493	1000	05	1	inverse_cdf	4.640101042136189	unsmoothed
36.5	24.634257516384125	29.106450064365415	-11.865742483615875	11.865742483615875	1000	05	1	inverse_cdf	5.395039394143978	unsmoothed
39.0	23.69733866882324	26.21080645398082	-15.302661331176758	15.302661331176758	1000	05	1	inverse_cdf	5.119649055744038	unsmoothed
40.0	23.601295288085936	26.602763583194584	-16.398704711914064	16.398704711914064	1000	05	1	inverse_cdf	5.157786694231798	unsmoothed
41.0	23.959429684638977	26.406398766442543	-17.040570315361023	17.040570315361023	1000	05	1	inverse_cdf	5.138715672854701	unsmoothed
41.5	23.877744723796845	27.97369959668893	-17.622255276203155	17.622255276203155	1000	05	1	inverse_cdf	5.2890168837591105	unsmoothed
5.5	19.654847036361694	14.578914722738144	14.154847036361694	14.154847036361694	1000	05	2	cdf	3.8182345033717016	unsmoothed
8.0	20.517644023895265	13.14950433535883	12.517644023895263	12.517644023895263	1000	05	2	cdf	3.6262245290879096	unsmoothed
10.0	19.06195143318176	15.932080815056992	9.061951433181765	9.061951433181765	1000	05	2	cdf	3.991501072911918	unsmoothed
11.0	19.112556856155397	17.05125252662999	8.112556856155395	8.112860342025757	1000	05	2	cdf	4.129316229913857	unsmoothed
11.5	19.356836990356445	15.348632161341662	7.856836990356445	7.857475509643555	1000	05	2	cdf	3.917733038549419	unsmoothed
12.0	19.547201405525207	14.5091000515862	7.547201405525208	7.550908492088318	1000	05	2	cdf	3.8090812608273663	unsmoothed
12.5	19.820078155517574	13.304187245607512	7.320078155517578	7.33513995552063	1000	05	2	cdf	3.6474905408523695	unsmoothed
13.0	19.647340044021607	13.850220159004296	6.647340044021607	6.661352693557739	1000	05	2	cdf	3.721588391937547	unsmoothed
14.0	20.187534841537477	13.060598632473164	6.187534841537476	6.210254364013672	1000	05	2	cdf	3.6139450234436556	unsmoothed
16.0	20.305014580726624	11.427271424387827	4.305014580726623	4.444355704307556	1000	05	2	cdf	3.3804247402342544	unsmoothed
18.5	20.728598050117498	11.221143389976698	2.2285980501174927	3.0172221746444703	1000	05	2	cdf	3.3497975147726016	unsmoothed
22.0	21.77128346347809	5.038144743157187	-0.2287165365219116	1.4402636938095092	1000	05	2	cdf	2.2445811954921986	unsmoothed
25.5	21.413805397987367	12.495884070598336	-4.086194602012634	4.656843836784363	1000	05	2	cdf	3.534951777690657	unsmoothed
28.0	22.660432710647584	12.279086647456593	-5.339567289352417	5.5821935787200925	1000	05	2	cdf	3.50415277170625	unsmoothed
30.0	24.423657123565675	13.277274572662748	-5.576342876434326	5.674802089691162	1000	05	2	cdf	3.643799469326317	unsmoothed
31.0	24.29515361213684	15.082238127648823	-6.704846387863159	6.730887037277221	1000	05	2	cdf	3.883585730693842	unsmoothed
31.5	24.210807551383972	17.687643014148517	-7.289192448616028	7.2935710649490355	1000	05	2	cdf	4.205667962898226	unsmoothed
32.0	23.954486742019657	17.109135621755538	-8.045513257980346	8.061043294906616	1000	05	2	cdf	4.136319090901418	unsmoothed
32.5	24.469660683631897	18.267246217956973	-8.030339316368103	8.036830031394958	1000	05	2	cdf	4.274019913144647	unsmoothed
33.0	25.400428182601928	19.82045619446509	-7.599571817398071	7.610842470169067	1000	05	2	cdf	4.452017092786717	unsmoothed
34.0	26.51903835391998	22.01420690949389	-7.480961646080017	7.4938866872787475	1000	05	2	cdf	4.691929977045042	unsmoothed
36.0	26.237559787750243	22.6206558477673	-9.762440212249755	9.762440212249755	1000	05	2	cdf	4.75611772854366	unsmoothed
38.5	23.47890160560608	17.52104685490028	-15.02109839439392	15.02109839439392	1000	05	2	cdf	4.185814957078285	unsmoothed
5.5	13.555907563209534	25.448505046189496	8.055907563209534	8.055907563209534	1000	06	1	cdf	5.044651132257759	unsmoothed
8.0	13.536189643383024	22.743643169428942	5.536189643383026	5.567633631229401	1000	06	1	cdf	4.769029583618552	unsmoothed
10.0	15.216936163425446	24.126232581255223	5.216936163425445	5.426958081722259	1000	06	1	cdf	4.91184614796262	unsmoothed
11.0	16.345512231349947	24.52993712255211	5.345512231349945	5.673252895832062	1000	06	1	cdf	4.952770651115607	unsmoothed
11.5	16.540927758693694	23.656572269954957	5.040927758693695	5.426823542118073	1000	06	1	cdf	4.8638022441249555	unsmoothed
12.0	16.72543056154251	23.8952826724432	4.725430561542511	5.222710130214691	1000	06	1	cdf	4.88828013440752	unsmoothed
12.5	17.27970012807846	23.55461207079016	4.779700128078461	5.356013731479645	1000	06	1	cdf	4.853309393680786	unsmoothed
13.0	17.468136727809906	22.959002254710487	4.468136727809906	5.073019049167633	1000	06	1	cdf	4.791555306443878	unsmoothed
